Sheet,Title as published,Group
T1.47 (8),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (9),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.48b,"Area Under Land Cover Categories, 2000-2019",Theme 1 table
T1.50,"General Ecosystem Characteristics, Extent and Pattern, 2010-2024",Theme 1 table
T1.50 e,Time%20Series%20Env.%20Database.xlsx#T1.50c!A1,Theme 1 table
T1.50b,"General Ecosystem Characteristics, Extent and Pattern, 2010-2024",Theme 1 table
T1.50c,"General Ecosystem Characteristics, Extent and Pattern, 2010-2024",Theme 1 table
T1.50d,"General Ecosystem Characteristics, Extent and Pattern, 2010-2024",Theme 1 table
T1.54,"General Soil Type and Districts, 1997",Theme 1 table
T1.66 (2),Total Area of Protected Forest From 2015-16.,Theme 1 table
T1.66 (3),Total Area of Reserved Forests From 2019-20 to 2023-2024,Theme 1 table
T1.66 (4),SEEA Forest Cover Class 2015 (sq. km),Theme 1 table
T1.72,"Protected Terrestrial and Marine Species Area by District, 2024 (Ecologically Critical Area [ECA] Declared Under Bangladesh Environment Conservation Act, 1995) Area in Hectares",Theme 1 table
T1.74,"Name of Botanical Garden, Area and Location of Bangladesh",Theme 1 table
T1.74a,"Noise levels from specific sources, Location and pollution quality by District/ Station, 2019-2024",Theme 1 table
T1.76,"Name of Eco-Park, Area and Location of Bangladesh",Theme 1 table
T1.82,Local Air Quality. 2010-2024,Theme 1 table
T1.82 e,Local Air Quality. 2010-2024,Theme 1 table
"T1.82b,",Local Aair Quality. 2010-2024,Theme 1 table
T1.82c,Local Air Quality. 2010-2024,Theme 1 table
T1.82d,Local Air Quality. 2010-2024,Theme 1 table
T1.82f,Local Air Quality. 2010-2024,Theme 1 table
T2.001b,Natural Gas Reserve in Bangladesh Unit: Billion Cubic Feet,Theme 2 table
T2.002,"Production and Trade of Minerals, 2010-11 to 2023-24",Theme 2 table
T2.002b,"Production and Trade of Minerals, 2010-11 to 202324",Theme 2 table
T2.113,Area Irrigated under Different Means and Different Crops 2019-20 To 2021-22 (Area in Acres),Theme 2 table
T2.113 (2),"Land Ownership by Division and District, 2019",Theme 2 table
T2.174,"Table 2.174: Cropping Area & Production (Pulses) by District, 2019-2024",Theme 2 table
T2.43,"Production of Energy, 2015-16 to 2023-224",Theme 2 table
T2.43 b,"Production From Non-renewable Energy , 2015-2024",Theme 2 table
T2.43 d,"Production From Non-renewable Energy, 2015-2019 & 2019-20 to 2023-24",Theme 2 table
T2.43 g,"Production From Renewable Sourc, 2015-2024",Theme 2 table
T2.43 h,"Production From Renewable Sourc, 2015-2016 & 2019-20 to 2023-24",Theme 2 table
T2.43c,Natural Gas Reserve in Bangladesh Unit: Billion Cubic Feet,Theme 2 table
T2.43j,"Production From Renewable Sourc, 2015-2018 & 2019-20 to 2023-24",Theme 2 table
T2.44 (2),Imports of Energy from 2015-16 to 2023-24,Theme 2 table
