Station_Name,Year,Month,Day,Sample_No,Radiation,Block
Bogura,2019,1,27,8,3.2,B15
Bogura,2019,1,28,8,0.412,B15
Bogura,2019,1,29,8,3.6,B15
Bogura,2019,1,30,8,0.462,B15
Bogura,2019,1,31,8,3.9,B15
Bogura,2019,1,1,9,2.2,B15
Bogura,2019,1,2,9,0.287,B15
Bogura,2019,1,3,9,2,B15
Bogura,2019,1,4,9,0.262,B15
Bogura,2019,1,5,9,2.1,B15
Bogura,2019,1,6,9,0.275,B15
Bogura,2019,1,7,9,1.7,B15
Bogura,2019,1,8,9,0.225,B15
Bogura,2019,1,9,9,0.4,B15
Bogura,2019,1,10,9,0.062,B15
Bogura,2019,1,11,9,2.2,B15
Bogura,2019,1,12,9,0.287,B15
Bogura,2019,1,13,9,1,B15
Bogura,2019,1,14,9,0.137,B15
Bogura,2019,1,15,9,2.4,B15
Bogura,2019,1,16,9,0.312,B15
Bogura,2019,1,17,9,2.4,B15
Bogura,2019,1,18,9,0.312,B15
Bogura,2019,1,19,9,2.2,B15
Bogura,2019,1,20,9,0.287,B15
Bogura,2019,1,21,9,2.8,B15
Bogura,2019,1,22,9,0.362,B15
Bogura,2019,1,23,9,2.4,B15
Bogura,2019,1,24,9,0.312,B15
Bogura,2019,1,25,9,2.1,B15
Bogura,2019,1,26,9,0.275,B15
Bogura,2019,1,27,9,2.5,B15
Bogura,2019,1,28,9,0.325,B15
Bogura,2019,1,29,9,2.3,B15
Bogura,2019,1,30,9,0.3,B15
Bogura,2019,1,31,9,2.8,B15
Bogura,2019,1,1,10,1.1,B15
Bogura,2019,1,2,10,0.15,B15
Bogura,2019,1,3,10,1.2,B15
Bogura,2019,1,4,10,0.162,B15
Bogura,2019,1,5,10,1,B15
Bogura,2019,1,6,10,0.137,B15
Bogura,2019,1,7,10,1,B15
Bogura,2019,1,8,10,0.137,B15
Bogura,2019,1,9,10,0.7,B15
Bogura,2019,1,10,10,0.1,B15
Bogura,2019,1,11,10,0.4,B15
Bogura,2019,1,12,10,0.062,B15
Bogura,2019,1,13,10,0.1,B15
Bogura,2019,1,14,10,0.025,B15
Bogura,2019,1,15,10,1,B15
Bogura,2019,1,16,10,0.137,B15
Bogura,2019,1,17,10,0.9,B15
Bogura,2019,1,18,10,0.125,B15
Bogura,2019,1,19,10,1.2,B15
Bogura,2019,1,20,10,0.162,B15
Bogura,2019,1,21,10,1.1,B15
Bogura,2019,1,22,10,0.15,B15
Bogura,2019,1,23,10,1,B15
Bogura,2019,1,24,10,0.137,B15
Bogura,2019,1,25,10,1,B15
Bogura,2019,1,26,10,0.137,B15
Bogura,2019,1,27,10,1,B15
Bogura,2019,1,28,10,0.137,B15
Bogura,2019,1,29,10,0.6,B15
Bogura,2019,1,30,10,0.087,B15
Bogura,2019,1,31,10,1.4,B15
Bogura,2019,1,1,11,0.2,B15
Bogura,2019,1,2,11,0.037,B15
Bogura,2019,1,3,11,0.1,B15
Bogura,2019,1,4,11,0.025,B15
Bogura,2019,1,5,11,0,B15
Bogura,2019,1,6,11,0.012,B15
Bogura,2019,1,7,11,0.2,B15
Bogura,2019,1,8,11,0.037,B15
Bogura,2019,1,9,11,0.2,B15
Bogura,2019,1,10,11,0.037,B15
Bogura,2019,1,11,11,0,B15
Bogura,2019,1,12,11,0.012,B15
Bogura,2019,1,13,11,0,B15
Bogura,2019,1,14,11,0.012,B15
Bogura,2019,1,15,11,0.1,B15
Bogura,2019,1,16,11,0.025,B15
Bogura,2019,1,17,11,0.2,B15
Bogura,2019,1,18,11,0.037,B15
Bogura,2019,1,19,11,0.3,B15
Bogura,2019,1,20,11,0.05,B15
Bogura,2019,1,21,11,0,B15
Bogura,2019,1,22,11,0.012,B15
Bogura,2019,1,23,11,0.2,B15
Bogura,2019,1,24,11,0.037,B15
Bogura,2019,1,25,11,0,B15
Bogura,2019,1,26,11,0.012,B15
Bogura,2019,1,27,11,0,B15
Bogura,2019,1,28,11,0.012,B15
Bogura,2019,1,29,11,0.2,B15
Bogura,2019,1,30,11,0.037,B15
Bogura,2019,1,31,11,0.1,B15
Bogura,2019,1,1,12,0,B15
Bogura,2019,1,2,12,0.012,B15
Bogura,2019,1,3,12,0,B15
Bogura,2019,1,4,12,0.012,B15
Bogura,2019,1,5,12,0,B15
Bogura,2019,1,6,12,0.012,B15
Bogura,2019,1,7,12,0,B15
Bogura,2019,1,8,12,0.012,B15
Bogura,2019,1,9,12,0,B15
Bogura,2019,1,10,12,0.012,B15
Bogura,2019,1,11,12,0,B15
Bogura,2019,1,12,12,0.012,B15
Bogura,2019,1,13,12,0,B15
Bogura,2019,1,14,12,0.012,B15
Bogura,2019,1,15,12,0,B15
Bogura,2019,1,16,12,0.012,B15
Bogura,2019,1,17,12,0,B15
Bogura,2019,1,18,12,0.012,B15
Bogura,2019,1,19,12,0,B15
Bogura,2019,1,20,12,0.012,B15
Bogura,2019,1,21,12,0,B15
Bogura,2019,1,22,12,0.012,B15
Bogura,2019,1,23,12,0,B15
Bogura,2019,1,24,12,0.012,B15
Bogura,2019,1,25,12,0,B15
Bogura,2019,1,26,12,0.012,B15
Bogura,2019,1,27,12,0,B15
Bogura,2019,1,28,12,0.012,B15
Bogura,2019,1,29,12,0,B15
Bogura,2019,1,30,12,0.012,B15
Bogura,2019,1,31,12,0,B15
Bogura,2019,1,1,13,0,B15
Bogura,2019,1,2,13,0.012,B15
Bogura,2019,1,3,13,0,B15
Bogura,2019,1,4,13,0.012,B15
Bogura,2019,1,5,13,0,B15
Bogura,2019,1,6,13,0.012,B15
Bogura,2019,1,7,13,0,B15
Bogura,2019,1,8,13,0.012,B15
Bogura,2019,1,9,13,0,B15
Bogura,2019,1,10,13,0.012,B15
Bogura,2019,1,11,13,0,B15
Bogura,2019,1,12,13,0.012,B15
Bogura,2019,1,13,13,0,B15
Bogura,2019,1,14,13,0.012,B15
Bogura,2019,1,15,13,0,B15
Bogura,2019,1,16,13,0.012,B15
Bogura,2019,1,17,13,0,B15
Bogura,2019,1,18,13,0.012,B15
Bogura,2019,1,19,13,0,B15
Bogura,2019,1,20,13,0.012,B15
Bogura,2019,1,21,13,0,B15
Bogura,2019,1,22,13,0.012,B15
Bogura,2019,1,23,13,0,B15
Bogura,2019,1,24,13,0.012,B15
Bogura,2019,1,25,13,0,B15
Bogura,2019,1,26,13,0.012,B15
Bogura,2019,1,27,13,0,B15
Bogura,2019,1,28,13,0.012,B15
Bogura,2019,1,29,13,0,B15
Bogura,2019,1,30,13,0.012,B15
Bogura,2019,1,31,13,0,B15
Bogura,2019,2,1,0,0,B15
Bogura,2019,2,2,0,0.012,B15
Bogura,2019,2,3,0,0,B15
Bogura,2019,2,4,0,0.012,B15
Bogura,2019,2,5,0,0,B15
Bogura,2019,2,6,0,0.012,B15
Bogura,2019,2,7,0,0,B15
Bogura,2019,2,8,0,0.012,B15
Bogura,2019,2,9,0,0,B15
Bogura,2019,2,10,0,0.012,B15
Bogura,2019,2,11,0,0,B15
Bogura,2019,2,12,0,0.012,B15
Bogura,2019,2,13,0,0,B15
Bogura,2019,2,14,0,0.012,B15
Bogura,2019,2,15,0,0,B15
Bogura,2019,2,16,0,0.012,B15
Bogura,2019,2,17,0,0,B15
Bogura,2019,2,18,0,0.012,B15
Bogura,2019,2,19,0,0,B15
Bogura,2019,2,20,0,0.012,B15
Bogura,2019,2,21,0,0,B15
Bogura,2019,2,22,0,0.012,B15
Bogura,2019,2,23,0,0,B15
Bogura,2019,2,24,0,0.012,B15
Bogura,2019,2,25,0,0,B15
Bogura,2019,2,26,0,0.012,B15
Bogura,2019,2,27,0,0,B15
Bogura,2019,2,28,0,0.012,B15
Bogura,2019,2,1,1,0.5,B15
Bogura,2019,2,2,1,0.075,B15
Bogura,2019,2,3,1,0.4,B15
Bogura,2019,2,4,1,0.062,B15
Bogura,2019,2,5,1,0.5,B15
Bogura,2019,2,6,1,0.075,B15
Bogura,2019,2,7,1,0.2,B15
Bogura,2019,2,8,1,0.037,B15
Bogura,2019,2,9,1,0.3,B15
Bogura,2019,2,10,1,0.05,B15
Bogura,2019,2,11,1,0.3,B15
Bogura,2019,2,12,1,0.05,B15
Bogura,2019,2,13,1,0.2,B15
Bogura,2019,2,14,1,0.037,B15
Bogura,2019,2,15,1,0.2,B15
Bogura,2019,2,16,1,0.037,B15
Bogura,2019,2,17,1,0.1,B15
