Station_Name,Year,Month,Rainfall,Block
Dinajpur,2012,1,5,B05
Dinajpur,2012,2,5,B05
Dinajpur,2012,3,3,B05
Dinajpur,2012,4,57,B05
Dinajpur,2012,5,79,B05
Dinajpur,2012,6,380,B05
Dinajpur,2012,7,435,B05
Dinajpur,2012,8,106,B05
Dinajpur,2012,9,349,B05
Dinajpur,2012,10,91,B05
Dinajpur,2012,11,1,B05
Dinajpur,2012,12,0,B05
Dinajpur,2013,1,0,B05
Dinajpur,2013,2,10,B05
Dinajpur,2013,3,0,B05
Dinajpur,2013,4,99,B05
Dinajpur,2013,5,133,B05
Dinajpur,2013,6,370,B05
Dinajpur,2013,7,255,B05
Dinajpur,2013,8,469,B05
Dinajpur,2013,9,182,B05
Dinajpur,2013,10,309,B05
Dinajpur,2013,11,0,B05
Dinajpur,2013,12,0,B05
Dinajpur,2014,1,0,B05
Dinajpur,2014,2,31,B05
Dinajpur,2014,3,2,B05
Dinajpur,2014,4,3,B05
Dinajpur,2014,5,186,B05
Dinajpur,2014,6,257,B05
Dinajpur,2014,7,293,B05
Dinajpur,2014,8,181,B05
Dinajpur,2014,9,424,B05
Dinajpur,2014,10,21,B05
Dinajpur,2014,11,0,B05
Dinajpur,2014,12,0,B05
Ishurdi,2011,1,4,B05
Ishurdi,2011,2,1,B05
Ishurdi,2011,3,30,B05
Ishurdi,2011,4,96,B05
Ishurdi,2011,5,155,B05
Ishurdi,2011,6,253,B05
Ishurdi,2011,7,289,B05
Ishurdi,2011,8,645,B05
Ishurdi,2011,9,261,B05
Ishurdi,2011,10,2,B05
Ishurdi,2011,11,0,B05
Ishurdi,2011,12,0,B05
Ishurdi,2012,1,12,B05
Ishurdi,2012,2,0,B05
Ishurdi,2012,3,5,B05
Ishurdi,2012,4,51,B05
Ishurdi,2012,5,69,B05
Ishurdi,2012,6,177,B05
Ishurdi,2012,7,215,B05
Ishurdi,2012,8,97,B05
Ishurdi,2012,9,178,B05
Ishurdi,2012,10,157,B05
Ishurdi,2012,11,86,B05
Ishurdi,2012,12,15,B05
Ishurdi,2013,1,1,B05
Ishurdi,2013,2,14,B05
Ishurdi,2013,3,0,B05
Ishurdi,2013,4,69,B05
Ishurdi,2013,5,182,B05
Ishurdi,2013,6,264,B05
Ishurdi,2013,7,130,B05
Ishurdi,2013,8,218,B05
Ishurdi,2013,9,121,B05
Ishurdi,2013,10,130,B05
Ishurdi,2013,11,0,B05
Ishurdi,2013,12,0,B05
Ishurdi,2014,1,3,B05
Ishurdi,2014,2,33,B05
Ishurdi,2014,3,32,B05
Ishurdi,2014,4,19,B05
Ishurdi,2014,5,129,B05
Ishurdi,2014,6,525,B05
Ishurdi,2014,7,182,B05
Ishurdi,2014,8,249,B05
Ishurdi,2014,9,179,B05
Ishurdi,2014,10,89,B05
Ishurdi,2014,11,0,B05
Ishurdi,2014,12,0,B05
Rajshahi,2011,1,6,B05
Rajshahi,2011,2,0,B05
Rajshahi,2011,3,10,B05
Rajshahi,2011,4,94,B05
Rajshahi,2011,5,187,B05
Rajshahi,2011,6,341,B05
Rajshahi,2011,7,144,B05
Rajshahi,2011,8,454,B05
Rajshahi,2011,9,203,B05
Rajshahi,2011,10,35,B05
Rajshahi,2011,11,1,B05
Rajshahi,2011,12,0,B05
Rajshahi,2012,1,6,B05
Rajshahi,2012,2,0,B05
Rajshahi,2012,3,6,B05
Rajshahi,2012,4,123,B05
Rajshahi,2012,5,17,B05
Rajshahi,2012,6,137,B05
Rajshahi,2012,7,314,B05
Rajshahi,2012,8,179,B05
Rajshahi,2012,9,178,B05
Rajshahi,2012,10,102,B05
Rajshahi,2012,11,101,B05
Rajshahi,2012,12,1,B05
Rajshahi,2013,1,0,B05
Rajshahi,2013,2,22,B05
Rajshahi,2013,3,12,B05
Rajshahi,2013,4,51,B05
Rajshahi,2013,5,188,B05
Rajshahi,2013,6,178,B05
Rajshahi,2013,7,101,B05
Rajshahi,2013,8,254,B05
Rajshahi,2013,9,238,B05
Rajshahi,2013,10,204,B05
Rajshahi,2013,11,0,B05
Rajshahi,2013,12,0,B05
Rajshahi,2014,1,0,B05
Rajshahi,2014,2,27,B05
Rajshahi,2014,3,12,B05
Rajshahi,2014,4,51,B05
Rajshahi,2014,5,151,B05
Rajshahi,2014,6,188,B05
Rajshahi,2014,7,242,B05
Rajshahi,2014,8,359,B05
Rajshahi,2014,9,153,B05
Rajshahi,2014,10,5,B05
Rajshahi,2014,11,0,B05
Rajshahi,2014,12,0,B05
Rangpur,2011,1,0,B05
Rangpur,2011,2,20,B05
Rangpur,2011,3,13,B05
Rangpur,2011,4,28,B05
Rangpur,2011,5,261,B05
Rangpur,2011,6,306,B05
Rangpur,2011,7,389,B05
Rangpur,2011,8,542,B05
Rangpur,2011,9,366,B05
Rangpur,2011,10,6,B05
Rangpur,2011,11,1,B05
Rangpur,2011,12,0,B05
Rangpur,2012,1,7,B05
Rangpur,2012,2,2,B05
Rangpur,2012,3,2,B05
Rangpur,2012,4,191,B05
Rangpur,2012,5,212,B05
Rangpur,2012,6,369,B05
Rangpur,2012,7,445,B05
Rangpur,2012,8,187,B05
Rangpur,2012,9,405,B05
Rangpur,2012,10,57,B05
Rangpur,2012,11,0,B05
Rangpur,2012,12,0,B05
Rangpur,2013,1,0,B05
Rangpur,2013,2,14,B05
Rangpur,2013,3,4,B05
Rangpur,2013,4,115,B05
Rangpur,2013,5,383,B05
Rangpur,2013,6,327,B05
Rangpur,2013,7,296,B05
Rangpur,2013,8,268,B05
Rangpur,2013,9,229,B05
Rangpur,2013,10,280,B05
Rangpur,2013,11,0,B05
Rangpur,2013,12,0,B05
Rangpur,2014,1,0,B05
Rangpur,2014,2,26,B05
Rangpur,2014,3,1,B05
Rangpur,2014,4,15,B05
Rangpur,2014,5,214,B05
Rangpur,2014,6,255,B05
Rangpur,2014,7,110,B05
Rangpur,2014,8,362,B05
Rangpur,2014,9,599,B05
Rangpur,2014,10,53,B05
Rangpur,2014,11,0,B05
Rangpur,2014,12,0,B05
Sayedpur,2011,1,0,B05
Sayedpur,2011,2,19,B05
Sayedpur,2011,3,28,B05
Sayedpur,2011,4,50,B05
Sayedpur,2011,5,283,B05
Sayedpur,2011,6,223,B05
Sayedpur,2011,7,409,B05
Sayedpur,2011,8,559,B05
Sayedpur,2011,9,318,B05
Sayedpur,2011,10,0,B05
Sayedpur,2011,11,1,B05
Sayedpur,2011,12,0,B05
Sayedpur,2012,1,6,B05
Sayedpur,2012,2,6,B05
Sayedpur,2012,3,3,B05
Sayedpur,2012,4,91,B05
Sayedpur,2012,5,148,B05
Sayedpur,2012,6,328,B05
Sayedpur,2012,7,456,B05
Sayedpur,2012,8,97,B05
Sayedpur,2012,9,628,B05
Sayedpur,2012,10,27,B05
Sayedpur,2012,11,0,B05
Sayedpur,2012,12,0,B05
Sayedpur,2013,1,0,B05
Sayedpur,2013,2,14,B05
Sayedpur,2013,3,3,B05
Sayedpur,2013,4,58,B05
Sayedpur,2013,5,206,B05
Sayedpur,2013,6,310,B05
Sayedpur,2013,7,245,B05
Sayedpur,2013,8,388,B05
Sayedpur,2013,9,161,B05
Sayedpur,2013,10,337,B05
Sayedpur,2013,11,0,B05
Sayedpur,2013,12,0,B05
Sayedpur,2014,1,0,B05
Sayedpur,2014,2,26,B05
Sayedpur,2014,3,7,B05
Sayedpur,2014,4,6,B05
Sayedpur,2014,5,157,B05
Sayedpur,2014,6,366,B05
Sayedpur,2014,7,200,B05
Sayedpur,2014,8,470,B05
Sayedpur,2014,9,411,B05
Sayedpur,2014,10,45,B05
Sayedpur,2014,11,0,B05
Sayedpur,2014,12,0,B05
Chuadanga,2011,1,1,B05
Chuadanga,2011,2,1,B05
Chuadanga,2011,3,42,B05
Chuadanga,2011,4,85,B05
Chuadanga,2011,5,151,B05
