Station_Name,Year,Month,Humidity,Block
Rangpur,2014,12,82,B08
Sayedpur,2011,1,82,B08
Sayedpur,2011,2,72,B08
Sayedpur,2011,3,69,B08
Sayedpur,2011,4,74,B08
Sayedpur,2011,5,80,B08
Sayedpur,2011,6,82,B08
Sayedpur,2011,7,84,B08
Sayedpur,2011,8,84,B08
Sayedpur,2011,9,83,B08
Sayedpur,2011,10,80,B08
Sayedpur,2011,11,77,B08
Sayedpur,2011,12,82,B08
Sayedpur,2012,1,78,B08
Sayedpur,2012,2,68,B08
Sayedpur,2012,3,61,B08
Sayedpur,2012,4,70,B08
Sayedpur,2012,5,75,B08
Sayedpur,2012,6,83,B08
Sayedpur,2012,7,85,B08
Sayedpur,2012,8,80,B08
Sayedpur,2012,9,85,B08
Sayedpur,2012,10,79,B08
Sayedpur,2012,11,75,B08
Sayedpur,2012,12,86,B08
Sayedpur,2013,1,78,B08
Sayedpur,2013,2,69,B08
Sayedpur,2013,3,64,B08
Sayedpur,2013,4,70,B08
Sayedpur,2013,5,82,B08
Sayedpur,2013,6,82,B08
Sayedpur,2013,7,82,B08
Sayedpur,2013,8,85,B08
Sayedpur,2013,9,82,B08
Sayedpur,2013,10,84,B08
Sayedpur,2013,11,79,B08
Sayedpur,2013,12,82,B08
Sayedpur,2014,1,85,B08
Sayedpur,2014,2,77,B08
Sayedpur,2014,3,67,B08
Sayedpur,2014,4,64,B08
Sayedpur,2014,5,73,B08
Sayedpur,2014,6,84,B08
Sayedpur,2014,7,82,B08
Sayedpur,2014,8,85,B08
Sayedpur,2014,9,85,B08
Sayedpur,2014,10,81,B08
Sayedpur,2014,11,78,B08
Sayedpur,2014,12,83,B08
Chuadanga,2011,1,79,B08
Chuadanga,2011,2,70,B08
Chuadanga,2011,3,69,B08
Chuadanga,2011,4,72,B08
Chuadanga,2011,5,78,B08
Chuadanga,2011,6,83,B08
Chuadanga,2011,7,85,B08
Chuadanga,2011,8,88,B08
Chuadanga,2011,9,88,B08
Chuadanga,2011,10,82,B08
Chuadanga,2011,11,82,B08
Chuadanga,2011,12,84,B08
Chuadanga,2012,1,81,B08
Chuadanga,2012,2,70,B08
Chuadanga,2012,3,63,B08
Chuadanga,2012,4,69,B08
Chuadanga,2012,5,70,B08
Chuadanga,2012,6,78,B08
Chuadanga,2012,7,88,B08
Chuadanga,2012,8,87,B08
Chuadanga,2012,9,86,B08
Chuadanga,2012,10,83,B08
Chuadanga,2012,11,80,B08
Chuadanga,2012,12,85,B08
Chuadanga,2013,1,79,B08
Chuadanga,2013,2,74,B08
Chuadanga,2013,3,65,B08
Chuadanga,2013,4,65,B08
Chuadanga,2013,5,81,B08
Chuadanga,2013,6,84,B08
Chuadanga,2013,7,86,B08
Chuadanga,2013,8,87,B08
Chuadanga,2013,9,87,B08
Chuadanga,2013,10,88,B08
Chuadanga,2013,11,82,B08
Chuadanga,2013,12,82,B08
Chuadanga,2014,1,82,B08
Chuadanga,2014,2,75,B08
Chuadanga,2014,3,67,B08
Chuadanga,2014,4,60,B08
Chuadanga,2014,5,66,B08
Chuadanga,2014,6,83,B08
Chuadanga,2014,7,87,B08
Chuadanga,2014,8,86,B08
Chuadanga,2014,9,85,B08
Chuadanga,2014,10,83,B08
Chuadanga,2014,11,79,B08
Chuadanga,2014,12,85,B08
Chuadanga,2015,1,82,B08
Chuadanga,2015,2,78,B08
Chuadanga,2015,3,67,B08
Chuadanga,2015,4,74,B08
Chuadanga,2015,5,76,B08
Chuadanga,2015,6,81,B08
Chuadanga,2015,7,88,B08
Chuadanga,2015,8,86,B08
Chuadanga,2015,9,84,B08
Chuadanga,2015,10,81,B08
Chuadanga,2015,11,80,B08
Chuadanga,2015,12,82,B08
Chuadanga,2016,1,81,B08
Chuadanga,2016,2,77,B08
Chuadanga,2016,3,70,B08
Chuadanga,2016,4,69,B08
Chuadanga,2016,5,74,B08
Chuadanga,2016,6,81,B08
Chuadanga,2016,7,88,B08
Chuadanga,2016,8,86,B08
Chuadanga,2016,9,85,B08
Chuadanga,2016,10,82,B08
Chuadanga,2016,11,79,B08
Chuadanga,2016,12,83,B08
Jessore,2011,1,77,B08
Jessore,2011,2,71,B08
Jessore,2011,3,70,B08
Jessore,2011,4,73,B08
Jessore,2011,5,75,B08
Jessore,2011,6,81,B08
Jessore,2011,7,82,B08
Jessore,2011,8,86,B08
Jessore,2011,9,85,B08
Jessore,2011,10,79,B08
Jessore,2011,11,79,B08
Jessore,2011,12,81,B08
Jessore,2012,1,80,B08
Jessore,2012,2,71,B08
Jessore,2012,3,67,B08
Jessore,2012,4,72,B08
Jessore,2012,5,69,B08
Jessore,2012,6,77,B08
Jessore,2012,7,84,B08
Jessore,2012,8,84,B08
Jessore,2012,9,84,B08
Jessore,2012,10,81,B08
Jessore,2012,11,78,B08
Jessore,2012,12,81,B08
Jessore,2013,1,77,B08
Jessore,2013,2,71,B08
Jessore,2013,3,65,B08
Jessore,2013,4,67,B08
Jessore,2013,5,79,B08
Jessore,2013,6,81,B08
Jessore,2013,7,82,B08
Jessore,2013,8,84,B08
Jessore,2013,9,84,B08
Jessore,2013,10,85,B08
Jessore,2013,11,75,B08
Jessore,2013,12,78,B08
Jessore,2014,1,80,B08
Jessore,2014,2,72,B08
Jessore,2014,3,66,B08
Jessore,2014,4,63,B08
Jessore,2014,5,67,B08
Jessore,2014,6,80,B08
Jessore,2014,7,83,B08
Jessore,2014,8,83,B08
Jessore,2014,9,81,B08
Jessore,2014,10,81,B08
Jessore,2014,11,75,B08
Jessore,2014,12,81,B08
Jessore,2015,1,78,B08
Jessore,2015,2,74,B08
Jessore,2015,3,65,B08
Jessore,2015,4,73,B08
Jessore,2015,5,73,B08
Jessore,2015,6,79,B08
Jessore,2015,7,84,B08
Jessore,2015,8,83,B08
Jessore,2015,9,81,B08
Jessore,2015,10,80,B08
Jessore,2015,11,78,B08
Jessore,2015,12,80,B08
Jessore,2016,1,78,B08
Jessore,2016,2,74,B08
Jessore,2016,3,68,B08
Jessore,2016,4,69,B08
Jessore,2016,5,73,B08
Jessore,2016,6,77,B08
Jessore,2016,7,83,B08
Jessore,2016,8,81,B08
Jessore,2016,9,81,B08
Jessore,2016,10,79,B08
Jessore,2016,11,80,B08
Jessore,2016,12,81,B08
Khulna,2011,1,76,B08
Khulna,2011,2,70,B08
Khulna,2011,3,70,B08
Khulna,2011,4,72,B08
Khulna,2011,5,78,B08
Khulna,2011,6,84,B08
Khulna,2011,7,84,B08
Khulna,2011,8,88,B08
Khulna,2011,9,87,B08
Khulna,2011,10,79,B08
Khulna,2011,11,81,B08
Khulna,2011,12,83,B08
Khulna,2012,1,80,B08
Khulna,2012,2,71,B08
Khulna,2012,3,73,B08
Khulna,2012,4,77,B08
Khulna,2012,5,79,B08
Khulna,2012,6,84,B08
Khulna,2012,7,90,B08
Khulna,2012,8,90,B08
