StationID,Latitude,Longitude
GT7616006,23.92,89.64
GT7616007,23.87,89.64
GT7616008,23.88,89.69
GT7616009,24.02,89.65
GT7616010,24.03,89.7
GT7616011,23.96,89.65
GT7616012,23.82,89.7
GT7616502,23.93,89.68
GT7622013,24.27,89.29
GT7622014,24.31,89.34
GT7622015,24.22,89.3
GT7622503,24.22,89.25
GT7622504,24.17,89.31
GT7633016,24.2,89.45
GT7639017,24.14,89.09
GT7639018,24.14,89.15
GT7639019,24.12,89.04
GT7639020,24.03,89.07
GT7639021,24.09,89.13
GT7639505,23.98,89.09
GT7639506,24.01,89.12
GT7639507,24.05,89.13
GT7639508,24.07,89.04
GT7639509,24.09,89.08
GT7655022,24.08,89.23
GT7655023,24.03,89.19
GT7655024,23.96,89.33
GT7655025,23.98,89.39
GT7655026,24.01,89.29
GT7655027,24.01,89.35
GT7655028,23.99,89.23
GT7672029,24.02,89.57
GT7672510,24.08,89.44
GT7683030,23.88,89.51
GT7683031,23.94,89.45
GT7683032,23.86,89.56
GT7683033,23.93,89.52
GT7683034,23.83,89.54
GT7683035,23.87,89.45
GT7683512,23.91,89.57
GT7704001,26.33,88.41
GT7704002,26.27,88.37
GT7704003,26.25,88.42
GT7704501,26.34,88.45
GT7704502,26.24,88.48
GT7725004,26.26,88.57
GT7725005,26.25,88.64
GT7725006,26.2,88.61
GT7725007,26.34,88.51
GT7725008,26.17,88.65
GT7734009,26.19,88.75
GT7734010,26.16,88.71
GT7734011,26.06,88.69
GT7734012,26.1,88.73
GT7734013,26.27,88.72
GT7773014,26.41,88.65
GT7773015,26.45,88.6
GT7773016,26.34,88.73
GT7773017,26.37,88.61
GT7773018,26.36,88.68
GT7790020,26.47,88.44
GT7790021,26.59,88.41
GT7790022,26.54,88.39
GT7790023,26.47,88.5
GT7857001,22.19,90.44
GT7876002,22.35,90.21
GT7895003,22.34,90.42
GT7914001,22.49,90.07
GT7914002,22.41,89.97
GT7914003,22.45,90.01
GT7947004,22.62,90.07
GT7958005,22.37,89.95
GT7958006,22.36,89.96
GT7958007,22.37,89.98
GT7958008,22.3,89.97
GT7958009,0,0
GT7976009,22.72,89.97
GT7980010,22.64,89.98
GT7987011,22.72,90.12
GT8112001,24.52,88.85
GT8112002,24.63,88.76
GT8112003,24.62,88.8
GT8112004,24.56,88.77
GT8122005,24.39,88.6
GT8122006,24.36,88.61
GT8125006,24.34,88.77
GT8125008,24.34,88.69
GT8125009,24.33,88.78
GT8125010,24.28,88.74
GT8125011,24.29,88.84
GT8125012,24.28,88.8
GT8125013,24.29,88.77
GT8125014,24.34,88.73
GT8131015,24.49,88.71
GT8131016,0,0
GT8131017,0,0
GT8134016,24.58,88.41
GT8134017,24.4,88.43
GT8134018,24.43,88.49
GT8134019,24.51,88.32
GT8134020,24.52,88.38
GT8134021,24.49,88.46
GT8134022,24.43,88.46
GT8134023,24.45,88.42
GT8134024,24.48,88.39
GT8134027,24.54,88.46
GT8134028,24.47,88.32
GT8134029,24.53,88.41
GT8134030,24.4,88.41
GT8134031,24.4,88.41
GT8153030,24.63,88.68
GT8153031,24.58,88.63
GT8153032,0,0
GT8172032,24.41,88.52
GT8172033,24.49,88.58
GT8172035,24.43,88.7
