,"Monthly Frequency of Thunderstorm by Station, 2015-2024",,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Chuadanga,2016,0,8,14,8,40,29,24,22,36,10,0,0
,Chuadanga,2017,0,0,8,23,36,35,39,33,32,17,0,0
,Chuadanga,2018,0,2,1,35,48,27,31,15,23,3,0,0
,Chuadanga,2019,0,21,17,22,32,18,14,14,20,15,0,0
,Chuadanga,2020,0,21,17,22,32,18,14,14,20,15,0,0
,Chuadanga,2021,3,1,13,31,44,35,32,15,25,11,0,0
,Chuadanga,2022,0,0,3,9,51,43,20,45,24,12,0,0
,Chuadanga,2023,2,16,0,7,26,21,18,16,38,6,0,0
,Chuadanga,2024,0,0,20,14,31,23,8,10,29,5,1,0
,Jessore,2015,2,9,7,23,31,31,40,22,24,15,0,1
,Jessore,2016,0,19,16,3,47,46,46,29,30,15,5,0
,Jessore,2017,0,0,13,16,32,48,48,46,37,25,0,0
,Jessore,2018,0,2,7,40,33,35,30,13,22,1,0,0
,Jessore,2019,0,32,15,24,21,20,22,17,21,18,0,0
,Jessore,2020,5,0,23,28,38,50,21,21,28,19,0,0
,Jessore,2021,0,4,3,4,45,63,44,55,46,36,0,1
,Jessore,2022,2,7,0,3,55,15,25,26,35,19,0,0
,Jessore,2023,0,2,27,19,37,48,9,26,41,11,7,0
,Jessore,2024,3,4,29,3,35,31,54,0,0,0,0,0
,Khulna,2015,0,7,4,20,12,13,18,20,19,13,0,0
,Khulna,2016,0,17,11,4,37,20,7,12,7,8,0,0
,Khulna,2017,0,0,6,17,9,23,11,10,9,8,0,0
,Khulna,2018,0,0,5,34,42,22,11,9,12,0,0,0
,Khulna,2019,0,17,12,20,16,18,12,12,18,17,0,0
,Khulna,2020,0,0,6,16,26,24,7,9,8,6,0,0
,Khulna,2021,0,3,0,3,26,14,14,13,11,7,0,0
,Khulna,2022,0,7,0,3,9,14,4,7,17,2,0,0
,Khulna,2023,0,0,10,9,27,17,8,4,16,1,0,0
,Khulna,2024,0,1,2,2,13,13,9,**,**,**,**,**
,Mongla,2015,0,4,6,43,17,17,63,23,23,6,0,1
,Mongla,2016,0,15,10,6,24,39,12,14,11,25,0,0
,Mongla,2017,0,0,15,13,15,35,17,19,29,10,0,0
,Mongla,2018,0,0,4,23,39,29,5,22,32,2,0,0
,Mongla,2019,0,21,5,12,24,25,21,3,21,18,2,0
,Mongla,2020,6,1,5,22,26,28,24,12,19,12,0,0
,Mongla,2021,0,0,1,2,21,40,22,24,23,21,0,0
,Mongla,2022,0,2,0,3,29,28,10,21,28,10,0,0
,Mongla,2023,0,0,18,12,19,38,22,20,14,5,0,0
,Mongla,2024,0,1,9,1,31,30,4,**,**,**,**,**
,Satkhira,2015,0,7,5,32,15,29,47,41,35,14,0,0
,Satkhira,2016,0,17,14,2,29,27,14,9,25,11,2,0
,Satkhira,2017,0,0,14,7,24,37,19,21,30,12,0,0
,Satkhira,2018,0,0,3,32,19,27,13,16,12,2,0,0
,Satkhira,2019,0,18,22,17,23,25,9,23,19,11,0,0
,Satkhira,2020,0,1,15,18,28,37,15,17,8,7,3,0
,Satkhira,2021,0,3,0,2,35,30,25,27,18,14,0,0
,Satkhira,2022,0,7,0,3,31,12,18,21,27,3,0,0
,Satkhira,2023,0,2,24,19,25,39,20,13,26,11,0,0
,Satkhira,2024,0,3,15,5,33,20,**,**,**,**,**,**
,Barisal,2015,0,4,3,35,25,42,24,27,35,21,0,0
,Barisal,2016,0,12,16,12,53,39,12,25,25,18,0,0
,Barisal,2017,0,0,14,40,23,41,20,26,36,6,0,0
,Barisal,2018,0,0,4,40,63,17,7,7,26,0,0,0
,Barisal,2019,0,12,8,24,21,36,34,7,22,26,0,0
,Barisal,2020,1,0,7,52,35,44,11,17,31,20,0,0
,Barisal,2021,0,3,1,3,27,31,18,13,20,17,0,0
,Barisal,2022,0,6,0,4,32,31,7,14,15,8,0,0
,Barisal,2023,0,0,28,11,28,26,10,37,34,12,0,0
,Barisal,2024,0,1,8,10,32,17,**,**,**,**,**,**
,Bhola,2015,0,4,3,29,21,39,14,18,19,5,0,0
,Bhola,2016,0,7,11,9,38,28,10,8,9,18,3,0
,Bhola,2017,0,0,10,25,10,32,9,25,10,12,0,0
,Bhola,2018,0,0,11,39,68,32,2,12,9,0,0,0
,Bhola,2019,0,10,10,27,19,19,29,7,24,23,2,0
,Bhola,2020,2,0,4,54,24,31,0,7,16,7,0,0
,Bhola,2021,0,0,0,3,22,32,5,6,9,12,0,0
