,"Monthly Average Minimum Temperature by Station, 2011-16 (Celsius)",,,,,,,,,,,,,
,Year,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Spt.,Oct.,Nov.,Dec.,Annual
,2016,15,19.7,22.8,26.2,25.7,26.3,25.8,25.9,26,25.2,20.6,18.3,23.1
,Station : Cox's,,,,,,,,,,,,,
,2011,14.8,17.7,20.9,24.1,24.6,25.4,25.5,25.1,24.8,23.8,19.4,17,21.9
,2012,15.8,17.1,21.4,24.2,25.7,25.4,25,24.9,25.3,24.3,21.5,15.4,22.2
,2013,13.8,18.1,21.4,24.4,24.7,25.7,25.1,25.4,25.6,24.5,21.2,17,22.2
,2014,15.7,17.8,21.3,25.8,27,26.6,26.1,25.6,25.4,24.8,21.2,17,22.9
,2015,17.1,17.7,21.6,24.6,26.3,25.8,25.4,25.7,25.7,24.5,21.1,17.6,22.8
,2016,15.3,20.3,23.1,26.7,25.8,25.9,25.4,25.5,25.8,25,21.3,18.9,23.2
,Station : Teknaf,,,,,,,,,,,,,
,2011,14.8,16.8,19.2,23.5,25,25.3,25.6,25.3,25.1,24.3,18.2,16.3,21.6
,2012,15.2,16.2,20.8,24.3,25.9,25.7,25.2,25.5,25.6,24.3,21.3,15.7,22.1
,2013,14.1,16.4,20.6,24.2,24.8,25.8,25.3,25.3,25.7,24.7,19.9,16.5,21.9
,2014,13.9,16,20.4,25.1,26.8,26.4,26,25.3,25.3,24.4,20.4,15.4,22.1
,2015,16,15.8,20.5,23.9,26,25.4,25.3,25.6,25.8,24.1,20.7,16.8,22.2
,2016,14,18.1,21.7,25.9,25.9,25.9,25.3,25.3,25.8,25.2,20.4,17.7,22.6
,Station : Rangamati,,,,,,,,,,,,,
,2011,11.6,14.8,18.5,22.1,23.9,24.6,24.4,24.2,24,23.1,17.2,15.1,20.3
,2012,12.3,13.6,19.5,22.2,23.8,24.9,24.6,24.3,24.8,23.1,18.9,13.3,20.4
,2013,10.3,14.6,18.8,22.7,23.6,25.3,24.8,25,24.3,23.1,17.7,14.5,20.4
,2014,12.2,14.4,18,23.8,24.7,25.1,25.4,25,24.2,22.7,18.9,15,20.8
,2015,****,****,17.9,21.8,24.4,25.1,24.4,24.9,24.7,22.8,18.7,14.5,****
,2016,12.6,16.5,20.6,25.4,24,24.5,24.9,24.9,24.7,23.9,18.6,15.8,21.4
,Station : Patuakhali,,,,,,,,,,,,,
,2011,12.1,15.8,20.3,23.2,25.3,26.1,26.2,25.7,25.6,24.5,18.7,15,21.5
,2012,13.9,15,21.9,24.1,25.9,27.4,26.3,26.2,26,23.5,19.3,13.4,21.9
,2013,11.7,15.5,20.6,23.9,25,26.6,26.2,26,25.7,24.4,18.6,14.9,21.6
,2014,12.7,15.5,20.3,25,26.1,26.5,26.7,26.2,26,23.8,19,14.7,21.9
,2015,14,16.1,19.6,23.9,26.2,26.3,25.6,26.3,26.1,24.2,19.8,16.6,22.1
,2016,13.6,19.6,22.9,26.3,25.4,26.5,26.1,26.2,26.3,25,19.9,16.3,22.8
,Station : Khepupara,,,,,,,,,,,,,
