id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1016111,Comilla District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.0764103662832, 'latitude': 23.42176151300003, 'srid': 4326}",pm2_5,179.94799999999998,1.451117659064532e-06,t of PM2_5 per MJ,124006484.84699999,MJ,8743263.552,m^2,14.183088970094447,2024
1016142,Mymensingh District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4162679306516, 'latitude': 24.72212600700007, 'srid': 4326}",pm2_5,163.428,1.4505931898887225e-06,t of PM2_5 per MJ,112662875.532,MJ,7943475.972000002,m^2,14.183069972028107,2024
1016153,Dinajpur District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.72473914233314, 'latitude': 25.642594338000066, 'srid': 4326}",pm2_5,162.23,1.45370855268168e-06,t of PM2_5 per MJ,111597334.76200001,MJ,7868277.239999998,m^2,14.183198095088986,2024
1016135,Khulna District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33178874708389, 'latitude': 22.501589776000117, 'srid': 4326}",pm2_5,148.30799999999996,1.4505654608612256e-06,t of PM2_5 per MJ,102241507.882,MJ,7208700.840000001,m^2,14.183069897238237,2024
1016164,Sylhet District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.95828109448732, 'latitude': 24.890305519000123, 'srid': 4326}",pm2_5,130.57500000000002,1.9038301099468909e-06,t of PM2_5 per MJ,68585426.461,MJ,4835714.604000001,m^2,14.18310055028218,2024
1016127,Narsingdi District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80575236733081, 'latitude': 24.007305145000117, 'srid': 4326}",pm2_5,120.53799999999998,1.4506005382082625e-06,t of PM2_5 per MJ,83095240.092,MJ,5858762.639999998,m^2,14.183069907061473,2024
1016125,Munshiganj District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.43809069191028, 'latitude': 23.52661705000017, 'srid': 4326}",pm2_5,103.119,1.4505934965404602e-06,t of PM2_5 per MJ,71087455.063,MJ,5012134.596,m^2,14.183069848070774,2024
1016133,Jessore District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12588422118975, 'latitude': 23.08486843050008, 'srid': 4326}",pm2_5,101.631,1.4530651186395029e-06,t of PM2_5 per MJ,69942495.14099999,MJ,4931229.792,m^2,14.183580585611448,2024
1016112,Cox'S Bazar District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 92.09185386899301, 'latitude': 21.332631112000115, 'srid': 4326}",pm2_5,101.56300000000002,1.450590894808866e-06,t of PM2_5 per MJ,70014916.24100001,MJ,4936513.548,m^2,14.183069804268266,2024
1016130,Tangail District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.00162472362695, 'latitude': 24.37570571950019, 'srid': 4326}",pm2_5,93.38099999999999,1.4505388219031195e-06,t of PM2_5 per MJ,64376767.164000005,MJ,4538986.823999999,m^2,14.183069848012412,2024
1016151,Rajshahi District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.59755043556032, 'latitude': 24.415211678000105, 'srid': 4326}",pm2_5,72.15999999999998,1.4506280644524768e-06,t of PM2_5 per MJ,49743970.745,MJ,3507278.1240000012,m^2,14.183069886760991,2024
1016131,Bagerhat District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.74824060802486, 'latitude': 22.40804317650011, 'srid': 4326}",pm2_5,64.148,1.4505623261258272e-06,t of PM2_5 per MJ,44222849.887,MJ,3118002.6960000005,m^2,14.183069804183388,2024
1016161,Habiganj District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.43166193901502, 'latitude': 24.33617210400009, 'srid': 4326}",pm2_5,59.12700000000001,1.0498244492600558e-06,t of PM2_5 per MJ,56320844.92,MJ,3970991.184,m^2,14.183069745137969,2024
1016145,Bogra District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33140767877406, 'latitude': 24.829842568000142, 'srid': 4326}",pm2_5,51.82300000000001,1.450547490155861e-06,t of PM2_5 per MJ,35726510.405,MJ,2518954.692,m^2,14.183069873572782,2024
1016152,Sirajganj District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.52299407002529, 'latitude': 24.39875030550007, 'srid': 4326}",pm2_5,46.254999999999995,1.4505852823316067e-06,t of PM2_5 per MJ,31887128.983999997,MJ,2248253.0039999993,m^2,14.183069666655722,2024
1016160,Thakurgaon District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.31190151002988, 'latitude': 25.935965538000147, 'srid': 4326}",pm2_5,43.248,1.4505713076537446e-06,t of PM2_5 per MJ,29814459.842,MJ,2102116.1159999995,m^2,14.183069914678304,2024
1016136,Kushtia District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.0249585606525, 'latitude': 23.942810059000124, 'srid': 4326}",pm2_5,39.981,1.4506718442256651e-06,t of PM2_5 per MJ,27560333.62,MJ,1943185.3439999998,m^2,14.183069929535247,2024
1016108,Brahamanbaria District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11221975455155, 'latitude': 23.95706462800007, 'srid': 4326}",pm2_5,37.477,1.4505968307081448e-06,t of PM2_5 per MJ,25835572.783999998,MJ,1821578.3400000005,m^2,14.183069822843848,2024
