full_name,id,level,level_0_id,level_1_id,level_2_id,name,year,month,sector,gas,emissionsQuantity
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,0.06611152908333187
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,6.022425144825753
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,buildings,ch4,9931.99772
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,49893.254570193865
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,56.95519298867937
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,82.84315451076996
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,19570.003869075274
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,31.617334290631494
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,114.8064677
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,10.76357683333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,817.7055702917771
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,2.5799
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,0.06550143421275165
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,0.332409925012645
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,57931.676704650214
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,68814.75954650725
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,65919.24358333334
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,19769.99999999999
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,860.1121288202028
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,0.8856846241635389
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,27.8698007394196
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,1517.7494166666665
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,10996.076189645944
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,1770.6583333333328
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,buildings,ch4,272.376
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,16000.906206816378
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,1.9176853183333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,4434.99159607244
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,power,ch4,174.30989732775
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,514.4795939210976
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,buildings,ch4,0.11373521285850101
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,0.06360097272169675
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,5.811647647243612
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,buildings,ch4,9611.59502
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,139784.65473702966
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,55.629913541572215
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,82.75312541765817
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,19570.003869075274
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,31.594446743874276
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,92.41602478
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,waste,ch4,10.76357683333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,fossil-fuel-operations,ch4,817.7055702917771
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,agriculture,ch4,1.08608
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,transportation,ch4,0.07258168585501323
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,transportation,ch4,0.3837203083752512
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,waste,ch4,59919.868199693345
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,agriculture,ch4,69583.99696988429
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,agriculture,ch4,65919.24358333334
