Station_Name,Year,Month,Type,Wind_Speed,Direction
Ambagan (Ctg),2021,10,Minimum,2,50
Ambagan (Ctg),2021,11,Maximum,3,90
Ambagan (Ctg),2021,11,Minimum,2,360
Ambagan (Ctg),2021,12,Maximum,2,270
Ambagan (Ctg),2021,12,Minimum,2,50
Ambagan (Ctg),2022,1,Maximum,2.5,270
Ambagan (Ctg),2022,1,Minimum,2,360
Ambagan (Ctg),2022,2,Maximum,3,230
Ambagan (Ctg),2022,2,Minimum,2,60
Ambagan (Ctg),2022,3,Maximum,4.5,230
Ambagan (Ctg),2022,3,Minimum,2,60
Ambagan (Ctg),2022,4,Maximum,3,180
Ambagan (Ctg),2022,4,Minimum,2,130
Ambagan (Ctg),2022,5,Maximum,4,230
Ambagan (Ctg),2022,5,Minimum,2,180
Ambagan (Ctg),2022,6,Maximum,3,130
Ambagan (Ctg),2022,6,Minimum,1,180
Ambagan (Ctg),2022,7,Maximum,3,150
Ambagan (Ctg),2022,7,Minimum,2,180
Ambagan (Ctg),2022,8,Maximum,6,90
Ambagan (Ctg),2022,8,Minimum,2,130
Ambagan (Ctg),2022,9,Maximum,3,130
Ambagan (Ctg),2022,9,Minimum,2,130
Ambagan (Ctg),2022,10,Maximum,3,230
Ambagan (Ctg),2022,10,Minimum,2,360
Ambagan (Ctg),2022,11,Maximum,2,360
Ambagan (Ctg),2022,11,Minimum,2,50
Ambagan (Ctg),2022,12,Maximum,3,270
Ambagan (Ctg),2022,12,Minimum,2,90
Ambagan (Ctg),2023,1,Maximum,2.5,360
Ambagan (Ctg),2023,1,Minimum,2,50
Ambagan (Ctg),2023,2,Maximum,3,210
Ambagan (Ctg),2023,2,Minimum,2,360
Ambagan (Ctg),2023,3,Maximum,3,270
Ambagan (Ctg),2023,3,Minimum,2,360
Ambagan (Ctg),2023,4,Maximum,4,270
Ambagan (Ctg),2023,4,Minimum,2,230
Ambagan (Ctg),2023,5,Maximum,4,180
Ambagan (Ctg),2023,5,Minimum,2,70
Ambagan (Ctg),2023,6,Maximum,6,220
Ambagan (Ctg),2023,6,Minimum,2,130
Ambagan (Ctg),2023,7,Maximum,3.5,180
Ambagan (Ctg),2023,7,Minimum,2,130
Ambagan (Ctg),2023,8,Maximum,4,210
Ambagan (Ctg),2023,8,Minimum,2,130
Ambagan (Ctg),2023,9,Maximum,3,220
Ambagan (Ctg),2023,9,Minimum,2,180
Ambagan (Ctg),2023,10,Maximum,2.5,270
Ambagan (Ctg),2023,10,Minimum,2,180
Ambagan (Ctg),2023,11,Maximum,10,230
Ambagan (Ctg),2023,11,Minimum,2,360
Ambagan (Ctg),2023,12,Maximum,2,310
Ambagan (Ctg),2023,12,Minimum,2,360
Ambagan (Ctg),2024,1,Maximum,2,320
Ambagan (Ctg),2024,1,Minimum,1,50
Ambagan (Ctg),2024,2,Maximum,4.5,180
Ambagan (Ctg),2024,2,Minimum,2,180
Ambagan (Ctg),2024,3,Maximum,3,290
Ambagan (Ctg),2024,3,Minimum,2,340
Ambagan (Ctg),2024,4,Maximum,5,210
Ambagan (Ctg),2024,4,Minimum,2,130
Ambagan (Ctg),2024,5,Maximum,7.5,180
Ambagan (Ctg),2024,5,Minimum,2,170
Ambagan (Ctg),2024,6,Maximum,4,210
Ambagan (Ctg),2024,6,Minimum,2,100
Barisal,2011,1,Maximum,5,360
Barisal,2011,2,Maximum,12,360
Barisal,2011,3,Maximum,13,200
Barisal,2011,4,Maximum,6,310
Barisal,2011,5,Maximum,8,310
Barisal,2011,6,Maximum,24,160
Barisal,2011,7,Maximum,12,200
Barisal,2011,8,Maximum,10,180
Barisal,2011,9,Maximum,10,150
Barisal,2011,10,Maximum,4,150
Barisal,2011,11,Maximum,3,310
Barisal,2011,12,Maximum,5,320
Barisal,2012,1,Maximum,6,300
Barisal,2012,2,Maximum,6,250
Barisal,2012,3,Maximum,8,180
Barisal,2012,4,Maximum,10,230
Barisal,2012,5,Maximum,6,180
Barisal,2012,6,Maximum,8,150
Barisal,2012,7,Maximum,6,90
Barisal,2012,8,Maximum,6,130
Barisal,2012,9,Maximum,3,130
Barisal,2012,10,Maximum,4,180
Barisal,2012,11,Maximum,2,310
Barisal,2012,12,Maximum,4,360
Barisal,2013,1,Maximum,6,310
Barisal,2013,2,Maximum,6,330
Barisal,2013,3,Maximum,6,180
Barisal,2013,4,Maximum,8,90
Barisal,2013,5,Maximum,20,50
Barisal,2013,6,Maximum,7,150
Barisal,2013,7,Maximum,8,180
Barisal,2013,8,Maximum,6,180
Barisal,2013,9,Maximum,7,180
Barisal,2013,10,Maximum,10,130
Barisal,2013,11,Maximum,3,300
Barisal,2013,12,Maximum,3,320
Barisal,2014,1,Maximum,5,320
Barisal,2014,2,Maximum,8,320
Barisal,2014,3,Maximum,5,270
Barisal,2014,4,Maximum,12,180
Barisal,2014,5,Maximum,6,260
Barisal,2014,6,Maximum,5,120
Barisal,2014,7,Maximum,7,120
Barisal,2014,8,Maximum,6,130
Barisal,2014,9,Maximum,5,180
Barisal,2014,10,Maximum,5,210
Barisal,2014,11,Maximum,2,320
Barisal,2014,12,Maximum,3,310
Barisal,2015,1,Maximum,3,330
Barisal,2015,1,Minimum,1,320
Barisal,2015,2,Maximum,10,320
Barisal,2015,2,Minimum,1,320
Barisal,2015,3,Maximum,6,360
Barisal,2015,3,Minimum,1,290
Barisal,2015,4,Maximum,8,150
Barisal,2015,4,Minimum,1,180
Barisal,2015,5,Maximum,7,160
Barisal,2015,5,Minimum,1,180
Barisal,2015,6,Maximum,8,220
Barisal,2015,6,Minimum,1,120
Barisal,2015,7,Maximum,10,320
Barisal,2015,7,Minimum,1,180
Barisal,2015,8,Maximum,15,180
Barisal,2015,8,Minimum,2,90
Barisal,2015,9,Maximum,6,270
Barisal,2015,9,Minimum,1,120
Barisal,2015,10,Maximum,6,130
Barisal,2015,10,Minimum,1,50
Barisal,2015,11,Maximum,4,120
Barisal,2015,11,Minimum,2,30
Barisal,2015,12,Maximum,4,30
Barisal,2015,12,Minimum,1,300
Barisal,2016,1,Maximum,4,300
Barisal,2016,1,Minimum,1,360
Barisal,2016,2,Maximum,4,220
Barisal,2016,2,Minimum,1,210
Barisal,2016,3,Maximum,7,200
Barisal,2016,3,Minimum,1,210
Barisal,2016,4,Maximum,10,210
Barisal,2016,4,Minimum,1,180
Barisal,2016,5,Maximum,20,50
Barisal,2016,5,Minimum,1,210
Barisal,2016,6,Maximum,6,180
Barisal,2016,6,Minimum,1,180
Barisal,2016,7,Maximum,8,150
Barisal,2016,7,Minimum,1,120
Barisal,2016,8,Maximum,15,210
Barisal,2016,8,Minimum,2,170
Barisal,2016,9,Maximum,8,210
Barisal,2016,9,Minimum,1,160
Barisal,2016,10,Maximum,8,120
Barisal,2016,10,Minimum,1,60
Barisal,2016,11,Maximum,12,30
Barisal,2016,11,Minimum,1,210
Barisal,2016,12,Maximum,4,300
Barisal,2016,12,Minimum,1,320
Barisal,2017,1,Maximum,6,320
Barisal,2017,1,Minimum,1,320
Barisal,2017,2,Maximum,10,180
Barisal,2017,2,Minimum,1,50
Barisal,2017,3,Maximum,18,210
Barisal,2017,3,Minimum,1,60
Barisal,2017,4,Maximum,12,210
Barisal,2017,4,Minimum,1,150
Barisal,2017,5,Maximum,8,210
