Station_Name,Year,Month,Day,Sunshine_Hours
Ambagan (Ctg),2009,3,19,6.8
Ambagan (Ctg),2009,3,20,8.6
Ambagan (Ctg),2009,3,21,8
Ambagan (Ctg),2009,3,22,8
Ambagan (Ctg),2009,3,23,8.7
Ambagan (Ctg),2009,3,24,9.2
Ambagan (Ctg),2009,3,25,9.1
Ambagan (Ctg),2009,3,26,4.5
Ambagan (Ctg),2009,3,27,6
Ambagan (Ctg),2009,3,28,8
Ambagan (Ctg),2009,3,29,9.5
Ambagan (Ctg),2009,3,30,7.9
Ambagan (Ctg),2009,3,31,1.9
Ambagan (Ctg),2009,4,1,9.8
Ambagan (Ctg),2009,4,2,10.1
Ambagan (Ctg),2009,4,3,9.3
Ambagan (Ctg),2009,4,4,9.5
Ambagan (Ctg),2009,4,5,9.4
Ambagan (Ctg),2009,4,6,8.8
Ambagan (Ctg),2009,4,7,9.3
Ambagan (Ctg),2009,4,8,7.5
Ambagan (Ctg),2009,4,9,8
Ambagan (Ctg),2009,4,10,9
Ambagan (Ctg),2009,4,11,8.6
Ambagan (Ctg),2009,4,12,9.7
Ambagan (Ctg),2009,4,13,10.3
Ambagan (Ctg),2009,4,14,9.9
Ambagan (Ctg),2009,4,15,10.9
Ambagan (Ctg),2009,4,16,1.7
Ambagan (Ctg),2009,4,17,0.3
Ambagan (Ctg),2009,4,18,6.5
Ambagan (Ctg),2009,4,19,4.5
Ambagan (Ctg),2009,4,20,7.4
Ambagan (Ctg),2009,4,21,7.6
Ambagan (Ctg),2009,4,22,5.4
Ambagan (Ctg),2009,4,23,4.7
Ambagan (Ctg),2009,4,24,9.6
Ambagan (Ctg),2009,4,25,9
Ambagan (Ctg),2009,4,26,9.9
Ambagan (Ctg),2009,4,27,9.8
Ambagan (Ctg),2009,4,28,10.4
Ambagan (Ctg),2009,4,29,9.9
Ambagan (Ctg),2009,4,30,10.5
Ambagan (Ctg),2009,5,1,9.3
Ambagan (Ctg),2009,5,2,5.7
Ambagan (Ctg),2009,5,3,5.3
Ambagan (Ctg),2009,5,4,10.8
Ambagan (Ctg),2009,5,5,9.3
Ambagan (Ctg),2009,5,6,9.5
Ambagan (Ctg),2009,5,7,9.1
Ambagan (Ctg),2009,5,8,9.6
Ambagan (Ctg),2009,5,9,9.9
Ambagan (Ctg),2009,5,10,10.3
Ambagan (Ctg),2009,5,11,7.5
Ambagan (Ctg),2009,5,12,10.6
Ambagan (Ctg),2009,5,13,9.6
Ambagan (Ctg),2009,5,14,3
Ambagan (Ctg),2009,5,15,9.8
Ambagan (Ctg),2009,5,16,3.3
Ambagan (Ctg),2009,5,17,7.1
Ambagan (Ctg),2009,5,18,2.2
Ambagan (Ctg),2009,5,19,8.6
Ambagan (Ctg),2009,5,20,11.2
Ambagan (Ctg),2009,5,21,11.3
Ambagan (Ctg),2009,5,22,11.9
Ambagan (Ctg),2009,5,23,9.4
Ambagan (Ctg),2009,5,24,4.7
Ambagan (Ctg),2009,5,25,0
Ambagan (Ctg),2009,5,26,0.2
Ambagan (Ctg),2009,5,27,4.7
Ambagan (Ctg),2009,5,28,10.8
Ambagan (Ctg),2009,5,29,9.3
Ambagan (Ctg),2009,5,30,4.4
Ambagan (Ctg),2009,5,31,0.1
Ambagan (Ctg),2009,6,1,1.8
Ambagan (Ctg),2009,6,2,2.4
Ambagan (Ctg),2009,6,3,1.7
Ambagan (Ctg),2009,6,4,10.2
Ambagan (Ctg),2009,6,5,9.6
Ambagan (Ctg),2009,6,6,4.8
Ambagan (Ctg),2009,6,7,5.6
Ambagan (Ctg),2009,6,8,0
Ambagan (Ctg),2009,6,9,8.1
Ambagan (Ctg),2009,6,10,9.8
Ambagan (Ctg),2009,6,11,10.8
Ambagan (Ctg),2009,6,12,11.3
Ambagan (Ctg),2009,6,13,10.5
Ambagan (Ctg),2009,6,14,9.2
Ambagan (Ctg),2009,6,15,10.7
Ambagan (Ctg),2009,6,16,8.5
Ambagan (Ctg),2009,6,17,6.8
Ambagan (Ctg),2009,6,18,5.5
Ambagan (Ctg),2009,6,19,7
Ambagan (Ctg),2009,6,20,0.8
Ambagan (Ctg),2009,6,21,8.2
Ambagan (Ctg),2009,6,22,5.2
Ambagan (Ctg),2009,6,23,9.8
Ambagan (Ctg),2009,6,24,8.6
Ambagan (Ctg),2009,6,25,9.7
Ambagan (Ctg),2009,6,26,7
Ambagan (Ctg),2009,6,27,6
Ambagan (Ctg),2009,6,28,0.3
Ambagan (Ctg),2009,6,29,0.7
Ambagan (Ctg),2009,6,30,0.3
Ambagan (Ctg),2009,7,1,0
Ambagan (Ctg),2009,7,2,0.4
Ambagan (Ctg),2009,7,3,4.9
Ambagan (Ctg),2009,7,4,8.8
Ambagan (Ctg),2009,7,5,6.8
Ambagan (Ctg),2009,7,6,1.8
Ambagan (Ctg),2009,7,7,0
Ambagan (Ctg),2009,7,8,1.5
Ambagan (Ctg),2009,7,9,0.4
Ambagan (Ctg),2009,7,10,0
Ambagan (Ctg),2009,7,11,2.8
Ambagan (Ctg),2009,7,12,10.4
Ambagan (Ctg),2009,7,13,9.8
Ambagan (Ctg),2009,7,14,7.2
Ambagan (Ctg),2009,7,15,0
Ambagan (Ctg),2009,7,16,1.3
Ambagan (Ctg),2009,7,17,11.8
Ambagan (Ctg),2009,7,18,10.3
Ambagan (Ctg),2009,7,19,10.7
Ambagan (Ctg),2009,7,20,7.2
Ambagan (Ctg),2009,7,21,4.3
Ambagan (Ctg),2009,7,22,4.2
Ambagan (Ctg),2009,7,23,6.9
Ambagan (Ctg),2009,7,24,10.3
Ambagan (Ctg),2009,7,25,10.8
Ambagan (Ctg),2009,7,26,3.2
Ambagan (Ctg),2009,7,27,0
Ambagan (Ctg),2009,7,28,0
Ambagan (Ctg),2009,7,29,0
Ambagan (Ctg),2009,7,30,0
Ambagan (Ctg),2009,7,31,0
Ambagan (Ctg),2009,8,1,3.3
Ambagan (Ctg),2009,8,2,3.9
Ambagan (Ctg),2009,8,3,8.4
Ambagan (Ctg),2009,8,4,9.2
Ambagan (Ctg),2009,8,5,3.9
Ambagan (Ctg),2009,8,6,0
Ambagan (Ctg),2009,8,7,6
Ambagan (Ctg),2009,8,8,10
Ambagan (Ctg),2009,8,9,9.6
Ambagan (Ctg),2009,8,10,5.7
Ambagan (Ctg),2009,8,11,0.3
Ambagan (Ctg),2009,8,12,0
Ambagan (Ctg),2009,8,13,2
Ambagan (Ctg),2009,8,14,0
Ambagan (Ctg),2009,8,15,0.2
Ambagan (Ctg),2009,8,16,0
Ambagan (Ctg),2009,8,17,3.8
Ambagan (Ctg),2009,8,18,5.9
Ambagan (Ctg),2009,8,19,3.6
Ambagan (Ctg),2009,8,20,0.4
Ambagan (Ctg),2009,8,21,0
Ambagan (Ctg),2009,8,22,0.2
Ambagan (Ctg),2009,8,23,1.6
Ambagan (Ctg),2009,8,24,3.7
Ambagan (Ctg),2009,8,25,7.7
Ambagan (Ctg),2009,8,26,1.3
Ambagan (Ctg),2009,8,27,0
Ambagan (Ctg),2009,8,28,11.2
Ambagan (Ctg),2009,8,29,8
Ambagan (Ctg),2009,8,30,1.2
Ambagan (Ctg),2009,8,31,7.7
Ambagan (Ctg),2009,9,1,9.1
Ambagan (Ctg),2009,9,2,7
Ambagan (Ctg),2009,9,3,6.7
Ambagan (Ctg),2009,9,4,3.3
Ambagan (Ctg),2009,9,5,4
Ambagan (Ctg),2009,9,6,4.4
Ambagan (Ctg),2009,9,7,6.7
Ambagan (Ctg),2009,9,8,0
Ambagan (Ctg),2009,9,9,0
Ambagan (Ctg),2009,9,10,4.7
Ambagan (Ctg),2009,9,11,8
Ambagan (Ctg),2009,9,12,8.3
Ambagan (Ctg),2009,9,13,2.2
Ambagan (Ctg),2009,9,14,1.6
Ambagan (Ctg),2009,9,15,2.4
Ambagan (Ctg),2009,9,16,3.4
Ambagan (Ctg),2009,9,17,5.5
Ambagan (Ctg),2009,9,18,6.2
Ambagan (Ctg),2009,9,19,5.2
Ambagan (Ctg),2009,9,20,0
Ambagan (Ctg),2009,9,21,0.9
Ambagan (Ctg),2009,9,22,6
Ambagan (Ctg),2009,9,23,5.9
Ambagan (Ctg),2009,9,24,6.7
Ambagan (Ctg),2009,9,25,8
Ambagan (Ctg),2009,9,26,10.1
Ambagan (Ctg),2009,9,27,0.9
Ambagan (Ctg),2009,9,28,3.8
Ambagan (Ctg),2009,9,29,8.6
Ambagan (Ctg),2009,9,30,9.4
Ambagan (Ctg),2009,10,1,7.2
Ambagan (Ctg),2009,10,2,7.9
Ambagan (Ctg),2009,10,3,1
Ambagan (Ctg),2009,10,4,4.5
Ambagan (Ctg),2009,10,5,7.3
