Station_Name,Year,Month,Rainfall
Barisal,1959,12,0
Barisal,1960,1,0
Barisal,1960,2,0
Barisal,1960,3,36
Barisal,1960,4,13
Barisal,1960,5,324
Barisal,1960,6,433
Barisal,1960,7,716
Barisal,1960,8,823
Barisal,1960,9,650
Barisal,1960,10,316
Barisal,1960,11,79
Barisal,1960,12,0
Barisal,1961,1,8
Barisal,1961,2,43
Barisal,1961,3,51
Barisal,1961,4,44
Barisal,1961,5,303
Barisal,1961,6,553
Barisal,1961,7,244
Barisal,1961,8,529
Barisal,1961,9,206
Barisal,1961,10,108
Barisal,1961,11,0
Barisal,1961,12,0
Barisal,1962,1,0
Barisal,1962,2,44
Barisal,1962,3,0
Barisal,1962,4,1
Barisal,1962,5,134
Barisal,1962,6,325
Barisal,1962,7,421
Barisal,1962,8,229
Barisal,1962,9,333
Barisal,1962,10,154
Barisal,1962,11,262
Barisal,1962,12,0
Barisal,1963,1,0
Barisal,1963,2,0
Barisal,1963,3,260
Barisal,1963,4,54
Barisal,1963,5,252
Barisal,1963,6,232
Barisal,1963,7,367
Barisal,1963,8,234
Barisal,1963,9,274
Barisal,1963,10,385
Barisal,1963,11,0
Barisal,1963,12,0
Barisal,1964,1,0
Barisal,1964,2,0
Barisal,1964,3,0
Barisal,1964,4,0
Barisal,1964,5,47
Barisal,1964,6,225
Barisal,1964,7,318
Barisal,1964,8,254
Barisal,1964,9,141
Barisal,1964,10,214
Barisal,1964,11,78
Barisal,1964,12,0
Barisal,1965,1,0
Barisal,1965,2,44
Barisal,1965,3,34
Barisal,1965,4,53
Barisal,1965,5,76
Barisal,1965,6,370
Barisal,1965,7,185
Barisal,1965,8,346
Barisal,1965,9,179
Barisal,1965,10,171
Barisal,1965,11,1
Barisal,1965,12,16
Barisal,1966,1,19
Barisal,1966,2,0
Barisal,1966,3,0
Barisal,1966,4,1
Barisal,1966,5,175
Barisal,1966,6,416
Barisal,1966,7,328
Barisal,1966,8,434
Barisal,1966,9,311
Barisal,1966,10,317
Barisal,1966,11,26
Barisal,1966,12,53
Barisal,1967,1,42
Barisal,1967,2,0
Barisal,1967,3,92
Barisal,1967,4,105
Barisal,1967,5,71
Barisal,1967,6,159
Barisal,1967,7,292
Barisal,1967,8,228
Barisal,1967,9,547
Barisal,1967,10,342
Barisal,1967,11,0
Barisal,1967,12,0
Barisal,1968,1,0
Barisal,1968,2,14
Barisal,1968,3,86
Barisal,1968,4,64
Barisal,1968,5,246
Barisal,1968,6,847
Barisal,1968,7,422
Barisal,1968,8,331
Barisal,1968,9,159
Barisal,1968,10,231
Barisal,1968,11,12
Barisal,1968,12,0
Barisal,1969,1,0
Barisal,1969,2,0
Barisal,1969,3,107
Barisal,1969,4,82
Barisal,1969,5,55
Barisal,1969,6,347
Barisal,1969,7,487
Barisal,1969,8,546
Barisal,1969,9,366
Barisal,1969,10,45
Barisal,1969,11,22
Barisal,1969,12,0
Barisal,1970,1,0
Barisal,1970,2,24
Barisal,1970,3,5
Barisal,1970,4,91
Barisal,1970,5,124
Barisal,1970,6,408
Barisal,1970,7,530
Barisal,1970,8,317
Barisal,1970,9,571
Barisal,1970,10,253
Barisal,1970,11,90
Barisal,1970,12,0
Barisal,1971,1,7
Barisal,1971,2,1
Barisal,1971,3,0
Barisal,1971,4,104
Barisal,1971,5,267
Barisal,1971,6,503
Barisal,1971,7,250
Barisal,1971,8,233
Barisal,1971,9,394
Barisal,1971,10,152
Barisal,1971,11,114
Barisal,1971,12,0
Barisal,1972,1,0
Barisal,1972,2,58
Barisal,1972,3,0
Barisal,1972,4,121
Barisal,1972,5,130
Barisal,1972,6,262
Barisal,1972,7,248
Barisal,1972,8,458
Barisal,1972,9,90
Barisal,1972,10,29
Barisal,1972,11,0
Barisal,1972,12,0
Barisal,1973,1,0
Barisal,1973,2,12
Barisal,1973,3,81
Barisal,1973,4,42
Barisal,1973,5,508
Barisal,1973,6,502
Barisal,1973,7,392
Barisal,1973,8,266
Barisal,1973,9,398
Barisal,1973,10,308
Barisal,1973,11,171
Barisal,1973,12,197
Barisal,1974,1,2
Barisal,1974,2,0
Barisal,1974,3,149
Barisal,1974,4,187
Barisal,1974,5,265
Barisal,1974,6,289
Barisal,1974,7,684
Barisal,1974,8,238
Barisal,1974,9,361
Barisal,1974,10,153
Barisal,1974,11,18
Barisal,1974,12,0
Barisal,1975,1,0
Barisal,1975,2,1
Barisal,1975,5,230
Barisal,1975,6,353
Barisal,1975,7,321
Barisal,1975,8,351
Barisal,1975,10,150
Barisal,1975,11,44
Barisal,1975,12,0
Barisal,1976,1,0
Barisal,1976,2,20
Barisal,1976,3,2
Barisal,1976,4,100
Barisal,1976,5,164
Barisal,1976,6,330
Barisal,1976,7,350
Barisal,1976,8,379
Barisal,1976,9,305
Barisal,1976,10,147
Barisal,1976,11,23
Barisal,1976,12,25
Barisal,1977,1,9
Barisal,1977,2,36
Barisal,1977,3,0
Barisal,1977,4,307
Barisal,1977,5,157
Barisal,1977,6,557
Barisal,1977,7,299
Barisal,1977,8,138
Barisal,1977,9,237
Barisal,1977,10,69
Barisal,1977,11,53
Barisal,1977,12,0
Barisal,1978,1,0
Barisal,1978,2,0
Barisal,1978,3,14
Barisal,1978,4,242
Barisal,1978,5,387
Barisal,1978,6,631
Barisal,1978,7,409
Barisal,1978,8,403
Barisal,1978,9,300
Barisal,1978,10,127
Barisal,1978,11,3
Barisal,1978,12,0
Barisal,1979,1,1
