Station_Name,Year,Month,Thunderstorm,Lightning
Chuadanga,2019,4,22,1
Chuadanga,2019,5,32,3
Chuadanga,2019,6,18,1
Chuadanga,2019,7,14,3
Chuadanga,2019,8,14,1
Chuadanga,2019,9,20,1
Chuadanga,2019,10,15,1
Chuadanga,2019,11,0,0
Chuadanga,2019,12,0,0
Chuadanga,2020,1,0,0
Chuadanga,2020,2,21,0
Chuadanga,2020,3,17,0
Chuadanga,2020,4,22,3
Chuadanga,2020,5,32,1
Chuadanga,2020,6,18,1
Chuadanga,2020,7,14,2
Chuadanga,2020,8,14,1
Chuadanga,2020,9,20,2
Chuadanga,2020,10,15,0
Chuadanga,2020,11,0,0
Chuadanga,2020,12,0,0
Chuadanga,2021,1,3,0
Chuadanga,2021,2,1,0
Chuadanga,2021,3,13,0
Chuadanga,2021,4,31,1
Chuadanga,2021,5,44,2
Chuadanga,2021,6,35,2
Chuadanga,2021,7,32,0
Chuadanga,2021,8,15,1
Chuadanga,2021,9,25,1
Chuadanga,2021,10,11,1
Chuadanga,2021,11,0,0
Chuadanga,2021,12,0,0
Chuadanga,2022,1,0,0
Chuadanga,2022,2,0,1
Chuadanga,2022,3,3,0
Chuadanga,2022,4,9,1
Chuadanga,2022,5,51,1
Chuadanga,2022,6,43,2
Chuadanga,2022,7,20,0
Chuadanga,2022,8,45,1
Chuadanga,2022,9,24,0
Chuadanga,2022,10,12,0
Chuadanga,2022,11,0,0
Chuadanga,2022,12,0,0
Chuadanga,2023,1,2,0
Chuadanga,2023,2,16,0
Chuadanga,2023,3,0,0
Chuadanga,2023,4,7,0
Chuadanga,2023,5,26,0
Chuadanga,2023,6,21,0
Chuadanga,2023,7,18,0
Chuadanga,2023,8,16,0
Chuadanga,2023,9,38,0
Chuadanga,2023,10,6,0
Chuadanga,2023,11,0,0
Chuadanga,2023,12,0,0
Chuadanga,2024,1,0,0
Chuadanga,2024,2,0,0
Chuadanga,2024,3,20,0
Chuadanga,2024,4,14,0
