Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Rangpur,2015,12,Temperature,Minimum,12.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,1,Temperature,Minimum,11.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,2,Temperature,Minimum,15.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,3,Temperature,Minimum,18.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,4,Temperature,Minimum,21.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,5,Temperature,Minimum,21.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,6,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,7,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,8,Temperature,Minimum,26.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,9,Temperature,Minimum,25.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,10,Temperature,Minimum,23.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,11,Temperature,Minimum,18.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2016,12,Temperature,Minimum,14.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,1,Temperature,Minimum,8.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,2,Temperature,Minimum,12.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,3,Temperature,Minimum,18.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,4,Temperature,Minimum,22.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,5,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,6,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,7,Temperature,Minimum,26.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,8,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,9,Temperature,Minimum,25.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,10,Temperature,Minimum,23.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,11,Temperature,Minimum,16.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2011,12,Temperature,Minimum,12.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,1,Temperature,Minimum,11.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,2,Temperature,Minimum,12.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,3,Temperature,Minimum,17.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,4,Temperature,Minimum,22.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,5,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,6,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,7,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,8,Temperature,Minimum,26.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,9,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,10,Temperature,Minimum,21.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,11,Temperature,Minimum,16.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2012,12,Temperature,Minimum,11.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,1,Temperature,Minimum,9.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,2,Temperature,Minimum,13.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,3,Temperature,Minimum,18.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,4,Temperature,Minimum,22.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,5,Temperature,Minimum,24.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,6,Temperature,Minimum,26.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,7,Temperature,Minimum,26.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,8,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,9,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,10,Temperature,Minimum,23.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,11,Temperature,Minimum,16.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2013,12,Temperature,Minimum,12.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,1,Temperature,Minimum,11,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,2,Temperature,Minimum,12.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,3,Temperature,Minimum,17.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,4,Temperature,Minimum,22.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,5,Temperature,Minimum,25.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,6,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,7,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,8,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,9,Temperature,Minimum,25.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,10,Temperature,Minimum,22.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,11,Temperature,Minimum,15.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2014,12,Temperature,Minimum,12,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,1,Temperature,Minimum,11.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,2,Temperature,Minimum,14.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,3,Temperature,Minimum,17.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,4,Temperature,Minimum,22,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
