WQ_Station_Name,Year,Parameter_Type,Value,Block
Garduara Sluice gate,2021,Biochemical Oxygen Demand,5.08,B23
Halda Bridge,2021,Biochemical Oxygen Demand,4.92,B23
"Basundia Bazar, Aladipur",2021,Biochemical Oxygen Demand,2.6,B23
Noapara Ferry Ghat Abhaynagar,2021,Biochemical Oxygen Demand,2.28,B23
Noapara Jafarpur,2021,Biochemical Oxygen Demand,2.78,B23
"Fultala Ghat, Dhulgram",2021,Biochemical Oxygen Demand,4.01,B23
Kamarkhali Bridge,2021,Biochemical Oxygen Demand,2.03,B23
Dorshona Railway Junction,2021,Biochemical Oxygen Demand,2.33,B23
Dhalaitala,2021,Biochemical Oxygen Demand,3.5,B23
Shoshan Ghat,2021,Biochemical Oxygen Demand,7.8,B23
Buro Moulavir Darga,2021,Biochemical Oxygen Demand,57,B23
Doshgate Jalma,2021,Biochemical Oxygen Demand,36,B23
Rampal Power Plant,2021,Biochemical Oxygen Demand,1.67,B23
Banishanta,2021,Biochemical Oxygen Demand,2.11,B23
Batiaghata By Pass,2021,Biochemical Oxygen Demand,2.6,B23
"Gilatola, Nadan Pratap (M)",2021,Biochemical Oxygen Demand,1.57,B23
Kalibari Ghat (M),2021,Biochemical Oxygen Demand,3.03,B23
"Charer Hat, Sulpur Aijgati (M)",2021,Biochemical Oxygen Demand,1.75,B23
Rupsa Ghat (M),2021,Biochemical Oxygen Demand,2.57,B23
Uzirpur,2021,Biochemical Oxygen Demand,7.07,B23
Kaliganj Bazar,2021,Biochemical Oxygen Demand,7.7,B23
Boshontopur,2021,Biochemical Oxygen Demand,6,B23
Dottobari Bridge (UP),2021,Biochemical Oxygen Demand,4.89,B23
Dottobari Bridge (Down),2021,Biochemical Oxygen Demand,4.89,B23
Aziz Ahmed Taki Road (UP),2021,Biochemical Oxygen Demand,4.77,B23
Aziz Ahmed Taki Road (Down),2021,Biochemical Oxygen Demand,4.77,B23
Sultanganj- Gabtoli (UP),2021,Biochemical Oxygen Demand,4.85,B23
Sultanganj- Gabtoli (DN),2021,Biochemical Oxygen Demand,4.85,B23
Teesta Bridge (Up),2021,Biochemical Oxygen Demand,2.25,B23
Teesta Bridge (Dn),2021,Biochemical Oxygen Demand,2.25,B23
Nohali Sapmari (Up),2021,Biochemical Oxygen Demand,2.22,B23
Nohali Sapmari (Dn),2021,Biochemical Oxygen Demand,2.22,B23
Teesta Barrage (Up),2021,Biochemical Oxygen Demand,2.27,B23
Teesta Barrage (Dn),2021,Biochemical Oxygen Demand,2.27,B23
Mendibag Point,2021,Biochemical Oxygen Demand,2.66,B23
Kin Bridge Point,2021,Biochemical Oxygen Demand,1.7,B23
Sheaik Ghat,2021,Biochemical Oxygen Demand,2.8,B23
Chhatak,2021,Biochemical Oxygen Demand,2.71,B23
Fcnchuganj Bridge Point,2021,Biochemical Oxygen Demand,2.94,B23
Mirpur Bridge,2022,Biochemical Oxygen Demand,14.13,B23
Bosila Bridge,2022,Biochemical Oxygen Demand,12.83,B23
Hajaribag,2022,Biochemical Oxygen Demand,12.8,B23
Satmosjid Road,2022,Biochemical Oxygen Demand,14.13,B23
Chadnighat,2022,Biochemical Oxygen Demand,13.98,B23
Bangladesg China Friendship Bridge,2022,Biochemical Oxygen Demand,14.75,B23
Fatullah,2022,Biochemical Oxygen Demand,13.5,B23
Port Road,2022,Biochemical Oxygen Demand,10.35,B23
Table Majhira Demra Ghat,2022,Biochemical Oxygen Demand,10.24,B23
Murapara (Rupganj),2022,Biochemical Oxygen Demand,8.98,B23
Gorashal Fertilizer,2022,Biochemical Oxygen Demand,5.72,B23
Trimohoni Bridge,2022,Biochemical Oxygen Demand,31.44,B23
Jolshiri Abason,2022,Biochemical Oxygen Demand,14.75,B23
Turag Bridge,2022,Biochemical Oxygen Demand,11.37,B23
Ashulia,2022,Biochemical Oxygen Demand,13.22,B23
Kaliakoir,2022,Biochemical Oxygen Demand,6.7,B23
Vawal,2022,Biochemical Oxygen Demand,5.45,B23
Nama Bazar,2022,Biochemical Oxygen Demand,10.53,B23
Mukterpur,2022,Biochemical Oxygen Demand,8.26,B23
Pathorghata,2022,Biochemical Oxygen Demand,9.24,B23
Ruhitpur,2022,Biochemical Oxygen Demand,6.91,B23
Hazratpur,2022,Biochemical Oxygen Demand,7.13,B23
Utorro Mitra,2022,Biochemical Oxygen Demand,5.22,B23
Mymensingh,2022,Biochemical Oxygen Demand,7.2,B23
Jamalpur Bridge,2022,Biochemical Oxygen Demand,4,B23
Jamalpur Rail Bridge,2022,Biochemical Oxygen Demand,1.8,B23
Jamuna Eco Park (U),2022,Biochemical Oxygen Demand,2.33,B23
Jamuna Eco Park (D),2022,Biochemical Oxygen Demand,2.33,B23
Shariakandi Groin badth (U),2022,Biochemical Oxygen Demand,2.4,B23
Shariakandi Groin badth (D),2022,Biochemical Oxygen Demand,2.4,B23
Mohonganj (U),2022,Biochemical Oxygen Demand,2.23,B23
Mohonganj (D),2022,Biochemical Oxygen Demand,2.23,B23
Horipur Kheya Ghat (U),2022,Biochemical Oxygen Demand,2.38,B23
Horipur Kheya Ghat (D),2022,Biochemical Oxygen Demand,2.38,B23
Kakua,2022,Biochemical Oxygen Demand,3.15,B23
Tarakandi (D),2022,Biochemical Oxygen Demand,5.4,B23
Tarakandi (U),2022,Biochemical Oxygen Demand,4,B23
"Bheutha Ghat, Manikganj",2022,Biochemical Oxygen Demand,6,B23
Meghna Ghat,2022,Biochemical Oxygen Demand,4.15,B23
Bisnondi,2022,Biochemical Oxygen Demand,5.1,B23
Norsingdi Launch Terminal,2022,Biochemical Oxygen Demand,6.93,B23
Anondo Bazar,2022,Biochemical Oxygen Demand,4.74,B23
Bhairob Bazar,2022,Biochemical Oxygen Demand,3.44,B23
Mawa Ghat,2022,Biochemical Oxygen Demand,5.4,B23
Barha Ghat,2022,Biochemical Oxygen Demand,6.18,B23
CUFL,2022,Biochemical Oxygen Demand,11.35,B23
TSP,2022,Biochemical Oxygen Demand,8.96,B23
Shikalbaha,2022,Biochemical Oxygen Demand,4.69,B23
Kalurghat Bridge,2022,Biochemical Oxygen Demand,3.83,B23
Mariam Nagar,2022,Biochemical Oxygen Demand,3.64,B23
Karnaphuli Paper,2022,Biochemical Oxygen Demand,4.09,B23
Maduna Ghat,2022,Biochemical Oxygen Demand,12.99,B23
Garduara Sluice Gate,2022,Biochemical Oxygen Demand,12.1,B23
Halda Bridge,2022,Biochemical Oxygen Demand,12.15,B23
Basundia Bazar,2022,Biochemical Oxygen Demand,3.5,B23
Noapara Ferry Ghat,2022,Biochemical Oxygen Demand,1.8,B23
Noapara,2022,Biochemical Oxygen Demand,1.6,B23
Fultala Ghat,2022,Biochemical Oxygen Demand,1.7,B23
Shoshan Ghat,2022,Biochemical Oxygen Demand,7.8,B23
Buro Moulavir Darga,2022,Biochemical Oxygen Demand,57,B23
Doshgate Jalma,2022,Biochemical Oxygen Demand,36,B23
Rupsa Ghat (M),2022,Biochemical Oxygen Demand,7.5,B23
Kalibari Ghat (M),2022,Biochemical Oxygen Demand,2.1,B23
Charer Hat (M),2022,Biochemical Oxygen Demand,1.3,B23
Gilatala,2022,Biochemical Oxygen Demand,1.4,B23
Kaliganj Bazar,2022,Biochemical Oxygen Demand,1.3,B23
Boshontopur,2022,Biochemical Oxygen Demand,1.3,B23
Gobindakathi,2022,Biochemical Oxygen Demand,1.3,B23
"Dutta Bari Bridge, Bogura (Upstream)",2022,Biochemical Oxygen Demand,3.03,B23
"Dutta Bari Bridge, Bogura (Downstream)",2022,Biochemical Oxygen Demand,3.03,B23
Aziz Ahmed Taki Road (Upstream),2022,Biochemical Oxygen Demand,3.07,B23
Aziz Ahmed Taki Road (Downstream),2022,Biochemical Oxygen Demand,3.07,B23
"Dutta Bari Bridge, Bogura (Upstream)",2022,Biochemical Oxygen Demand,3.03,B23
"Dutta Bari Bridge, Bogura (Downstream)",2022,Biochemical Oxygen Demand,3.03,B23
Aziz Ahmed Taki Road (Upstream),2022,Biochemical Oxygen Demand,3.07,B23
Aziz Ahmed Taki Road (Downstream),2022,Biochemical Oxygen Demand,3.07,B23
Mendibag Point,2022,Biochemical Oxygen Demand,2.1,B23
Kin Bridge Point,2022,Biochemical Oxygen Demand,2.3,B23
Sheaik Ghat,2022,Biochemical Oxygen Demand,2.8,B23
Chhatak,2022,Biochemical Oxygen Demand,2.5,B23
Fenchuganj Bridge Point,2022,Biochemical Oxygen Demand,2.3,B23
Fenchuganj Fertilizer Industry Point,2022,Biochemical Oxygen Demand,2.6,B23
Mirpur Bridge,2023,Biochemical Oxygen Demand,9.56,B23
Bosila Bridge,2023,Biochemical Oxygen Demand,9,B23
Hajaribag,2023,Biochemical Oxygen Demand,13,B23
Satmosjid Road,2023,Biochemical Oxygen Demand,10.67,B23
Chadnighat,2023,Biochemical Oxygen Demand,12.22,B23
Bangladesg China Friendship Bridge,2023,Biochemical Oxygen Demand,12.33,B23
Fatullah,2023,Biochemical Oxygen Demand,9.44,B23
Port Road,2023,Biochemical Oxygen Demand,10.36,B23
Majhira Demra Ghat,2023,Biochemical Oxygen Demand,14.56,B23
Murapara (Rupganj),2023,Biochemical Oxygen Demand,44.16,B23
Gorashal Fertilizer,2023,Biochemical Oxygen Demand,4.4,B23
Trimohoni Bridge,2023,Biochemical Oxygen Demand,29.73,B23
Jolshiri Abason,2023,Biochemical Oxygen Demand,9.89,B23
Turag Bridge,2023,Biochemical Oxygen Demand,14.07,B23
Ashulia,2023,Biochemical Oxygen Demand,12.35,B23
Kaliakoir,2023,Biochemical Oxygen Demand,5.17,B23
Vawal,2023,Biochemical Oxygen Demand,6.17,B23
Nama Bazar,2023,Biochemical Oxygen Demand,9.41,B23
Mukterpur,2023,Biochemical Oxygen Demand,8,B23
Pathorghata,2023,Biochemical Oxygen Demand,4.3,B23
Ruhitpur,2023,Biochemical Oxygen Demand,2.85,B23
Hazratpur,2023,Biochemical Oxygen Demand,3.88,B23
Utorro Mitra,2023,Biochemical Oxygen Demand,5.5,B23
Mymensingh,2023,Biochemical Oxygen Demand,8,B23
"Rail Bridge, Shamvoganj",2023,Biochemical Oxygen Demand,5.05,B23
Jamuna Eco Park (Up),2023,Biochemical Oxygen Demand,2.33,B23
Jamuna Eco Park (Dn),2023,Biochemical Oxygen Demand,2.33,B23
Shariakandi Kheya Ghat (Up),2023,Biochemical Oxygen Demand,2.32,B23
Shariakandi Kheya Ghat (Dn),2023,Biochemical Oxygen Demand,2.32,B23
Mohonganj (Up),2023,Biochemical Oxygen Demand,2.31,B23
Mohonganj (Dn),2023,Biochemical Oxygen Demand,2.31,B23
Horipur Kheya Ghat (Up),2023,Biochemical Oxygen Demand,2.38,B23
Horipur Kheya Ghat (Dn),2023,Biochemical Oxygen Demand,2.38,B23
Kakua,2023,Biochemical Oxygen Demand,2.2,B23
Tarakandi,2023,Biochemical Oxygen Demand,3.4,B23
"Bheutha Ghat, Manikganj",2023,Biochemical Oxygen Demand,6.6,B23
Meghna Ghat,2023,Biochemical Oxygen Demand,4.43,B23
Bisnondi Ferry Ghat,2023,Biochemical Oxygen Demand,3.17,B23
Norsingdi Launch Ghat,2023,Biochemical Oxygen Demand,3.22,B23
Anondo Bazar,2023,Biochemical Oxygen Demand,4.48,B23
Bhairob Bazar,2023,Biochemical Oxygen Demand,7.5,B23
Mawa Ghat,2023,Biochemical Oxygen Demand,2.2,B23
Barha Ghat,2023,Biochemical Oxygen Demand,3.53,B23
CUFL,2023,Biochemical Oxygen Demand,6.75,B23
TSP,2023,Biochemical Oxygen Demand,6.08,B23
Shikalbaha,2023,Biochemical Oxygen Demand,4.83,B23
Kalurghat Bridge,2023,Biochemical Oxygen Demand,4.42,B23
Mariam Nagar,2023,Biochemical Oxygen Demand,4.42,B23
Karnaphuli Paper,2023,Biochemical Oxygen Demand,4.17,B23
Maduna Ghat,2023,Biochemical Oxygen Demand,3.92,B23
Garduara Sluice Gate,2023,Biochemical Oxygen Demand,3.83,B23
Halda Bridge,2023,Biochemical Oxygen Demand,3.5,B23
Basundia Bazar,2023,Biochemical Oxygen Demand,7.99,B23
"Noapara Ferry Ghat, Abhaynagar",2023,Biochemical Oxygen Demand,13.5,B23
Noapara Jafarpur,2023,Biochemical Oxygen Demand,13.9,B23
"Fultala Ghat, Dhulgram",2023,Biochemical Oxygen Demand,12.07,B23
Kamarkhali Bridge,2023,Biochemical Oxygen Demand,5.39,B23
"Pipe Ghat, (M.P)",2023,Biochemical Oxygen Demand,26.78,B23
Dhalaitala,2023,Biochemical Oxygen Demand,4.57,B23
Shoshan Ghat,2023,Biochemical Oxygen Demand,21.17,B23
Buro Moulavir Darga,2023,Biochemical Oxygen Demand,17.39,B23
Doshgate Jalma,2023,Biochemical Oxygen Demand,23.86,B23
Rampal Power Plant,2023,Biochemical Oxygen Demand,11.5,B23
Banishanta,2023,Biochemical Oxygen Demand,15.15,B23
Batiaghata By Pass,2023,Biochemical Oxygen Demand,8.02,B23
Rupsa Ghat (M),2023,Biochemical Oxygen Demand,26.8,B23
Kalibari Ghat (M),2023,Biochemical Oxygen Demand,20.44,B23
Charer Hat Sulpur Aijgati (M),2023,Biochemical Oxygen Demand,10.27,B23
"Gilatala, Nadan Pratap (M)",2023,Biochemical Oxygen Demand,6.42,B23
Kaliganj Bazar,2023,Biochemical Oxygen Demand,6.01,B23
Boshontopur,2023,Biochemical Oxygen Demand,6.06,B23
Uzirpur,2023,Biochemical Oxygen Demand,5.69,B23
Dutta Bari Bridge (Up),2023,Biochemical Oxygen Demand,3.99,B23
Dutta Bari Bridge (Down),2023,Biochemical Oxygen Demand,3.99,B23
Aziz Ahmed Taki Road (Up),2023,Biochemical Oxygen Demand,3.99,B23
Aziz Ahmed Taki Road (Down),2023,Biochemical Oxygen Demand,3.99,B23
Sardah (Up),2023,Biochemical Oxygen Demand,2.37,B23
Sardah (Down),2023,Biochemical Oxygen Demand,2.37,B23
Nurullapur (Up),2023,Biochemical Oxygen Demand,2.29,B23
Nurullapur (Down),2023,Biochemical Oxygen Demand,2.29,B23
Kanchan Park (Up),2023,Biochemical Oxygen Demand,2.33,B23
Kanchan Park (Down),2023,Biochemical Oxygen Demand,2.33,B23
Mendibag Point,2023,Biochemical Oxygen Demand,2.45,B23
Kin Bridge Point,2023,Biochemical Oxygen Demand,3.25,B23
Sheaik Ghat,2023,Biochemical Oxygen Demand,3.4,B23
Chhatak,2023,Biochemical Oxygen Demand,3,B23
Fenchuganj Bridge Point,2023,Biochemical Oxygen Demand,2.8,B23
Fenchuganj Fertilizer Industry Point,2023,Biochemical Oxygen Demand,20.5,B23
Mirpur Bridge,2018,Chemical Oxygen Demand,38.36,B25
Hajaribag,2018,Chemical Oxygen Demand,34,B25
Kamrangir Char,2018,Chemical Oxygen Demand,31.54,B25
Chadnighat,2018,Chemical Oxygen Demand,30,B25
Sadar Ghat,2018,Chemical Oxygen Demand,27.81,B25
Pagla,2018,Chemical Oxygen Demand,35.37,B25
Bangladesg China Frendship Bridge,2018,Chemical Oxygen Demand,32.18,B25
Demra Ghat,2018,Chemical Oxygen Demand,28.74,B25
Ghorashal F.F.,2018,Chemical Oxygen Demand,33.5,B25
Near ACI Factory,2018,Chemical Oxygen Demand,63.66,B25
Neaer Kanchpur Bridge,2018,Chemical Oxygen Demand,24,B25
Near Jaber & Jubair Fabrics Ltd. Tongi,2018,Chemical Oxygen Demand,87.28,B25
"Near Hossain Dyeing Ltd. Pagar, Tongi",2018,Chemical Oxygen Demand,94.77,B25
"Near Damra University College, Demra, Dhaka",2018,Chemical Oxygen Demand,48.42,B25
"Near Balu Bridge, 300 feet Road, Dhaka",2018,Chemical Oxygen Demand,32.25,B25
"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",2018,Chemical Oxygen Demand,10,B25
"South Side of Tongi Rail Bridge, Pagar, Tongi",2018,Chemical Oxygen Demand,99.44,B25
New Gabtoli Bridge,2018,Chemical Oxygen Demand,35.63,B25
Mirpur Diabary BIWTA Landing Station,2018,Chemical Oxygen Demand,48.72,B25
Ashulia BIWTA Landing Station,2018,Chemical Oxygen Demand,47.27,B25
Tongi Istima Mat,2018,Chemical Oxygen Demand,54.18,B25
"North Side of Tongi Bridge, Pagar",2018,Chemical Oxygen Demand,64,B25
CETP (Up),2018,Chemical Oxygen Demand,25,B25
CETP (Dr),2018,Chemical Oxygen Demand,118.87,B25
CETP (DN),2018,Chemical Oxygen Demand,30.37,B25
M.B,2018,Chemical Oxygen Demand,21.83,B25
Hamayatpur,2018,Chemical Oxygen Demand,107.44,B25
Mymensingh,2018,Chemical Oxygen Demand,13.33,B25
"Bheutha Ghat, Manikgonj",2018,Chemical Oxygen Demand,12.16,B25
Bhairob Bazar,2018,Chemical Oxygen Demand,13,B25
Meghna Ghat,2018,Chemical Oxygen Demand,13.42,B25
N. S. P. M,2018,Chemical Oxygen Demand,17.71,B25
CUFL,2018,Chemical Oxygen Demand,214.33,B25
TSP,2018,Chemical Oxygen Demand,214.33,B25
Mohona,2018,Chemical Oxygen Demand,48,B25
"Pipe Ghat,(M.P)",2018,Chemical Oxygen Demand,59,B25
"Pipe Ghat, (U.S)",2018,Chemical Oxygen Demand,0,B25
"PipeGhat, (D.S)",2018,Chemical Oxygen Demand,313,B25
Mendibag Point,2018,Chemical Oxygen Demand,12.25,B25
Kin Bridge Point,2018,Chemical Oxygen Demand,13.22,B25
Sheaik Ghat,2018,Chemical Oxygen Demand,14.45,B25
Chhatak,2018,Chemical Oxygen Demand,17.6,B25
Fenchuganj Point,2018,Chemical Oxygen Demand,11,B25
Mirpur Bridge,2019,Chemical Oxygen Demand,38.08,B25
Hajaribag,2019,Chemical Oxygen Demand,34.83,B25
Kamrangir Char,2019,Chemical Oxygen Demand,37.25,B25
Chadnighat,2019,Chemical Oxygen Demand,38.83,B25
Sadar Ghat,2019,Chemical Oxygen Demand,46.81,B25
Pagla,2019,Chemical Oxygen Demand,44.5,B25
Bangladesg China Frendship Bridge,2019,Chemical Oxygen Demand,42,B25
Demra Ghat,2019,Chemical Oxygen Demand,38.4,B25
Ghorashal F.F.,2019,Chemical Oxygen Demand,20.6,B25
Near ACI Factory,2019,Chemical Oxygen Demand,33.7,B25
Neaer Kanchpur Bridge,2019,Chemical Oxygen Demand,38.4,B25
Near Jaber & Jubair Fabrics Ltd. Tongi,2019,Chemical Oxygen Demand,62.3,B25
"Near Hossain Dyeing Ltd. Pagar, Tongi",2019,Chemical Oxygen Demand,53.64,B25
"Near Damra University College, Demra, Dhaka",2019,Chemical Oxygen Demand,67.74,B25
"Near Balu Bridge, 300 feet Road, Dhaka",2019,Chemical Oxygen Demand,83.42,B25
New Gabtoli Bridge,2019,Chemical Oxygen Demand,60.91,B25
Mirpur Diabary BIWTA Landing Station,2019,Chemical Oxygen Demand,67.73,B25
Ashulia BIWTA Landing Station,2019,Chemical Oxygen Demand,54.82,B25
Tongi Istima Mat,2019,Chemical Oxygen Demand,57.7,B25
"North Side of Tongi Bridge, Pagar",2019,Chemical Oxygen Demand,60.91,B25
CETP (Up),2019,Chemical Oxygen Demand,12,B25
CETP (Dr),2019,Chemical Oxygen Demand,24.4,B25
CETP (DN),2019,Chemical Oxygen Demand,15.8,B25
CUFL,2019,Chemical Oxygen Demand,581,B25
TSP,2019,Chemical Oxygen Demand,450.17,B25
"Karnafully River Chaktai Khal, ctg",2019,Chemical Oxygen Demand,164.5,B25
Karnafully Mohona,2019,Chemical Oxygen Demand,762.67,B25
1km Straight from patenga sea beach,2019,Chemical Oxygen Demand,766.67,B25
Patenga charpara,2019,Chemical Oxygen Demand,653.67,B25
1km Straight from CEPZ,2019,Chemical Oxygen Demand,743.33,B25
Vattiyari shipyard area,2019,Chemical Oxygen Demand,491.67,B25
Mohona,2019,Chemical Oxygen Demand,43,B25
Mendibag Point,2019,Chemical Oxygen Demand,11.4,B25
Kin Bridge Point,2019,Chemical Oxygen Demand,11.6,B25
Sheaik Ghat,2019,Chemical Oxygen Demand,14.8,B25
Chhatak,2019,Chemical Oxygen Demand,10,B25
Kazir Bazar,2019,Chemical Oxygen Demand,10.33,B25
Kushiyara Point,2019,Chemical Oxygen Demand,14.67,B25
Mirpur Bridge,2020,Chemical Oxygen Demand,41.92,B25
Hajaribag,2020,Chemical Oxygen Demand,41.58,B25
Kamrangir Char,2020,Chemical Oxygen Demand,49.83,B25
Chadnighat,2020,Chemical Oxygen Demand,57.5,B25
Sadar Ghat,2020,Chemical Oxygen Demand,47.5,B25
Pagla,2020,Chemical Oxygen Demand,49.42,B25
Bangladesg China Frendship Bridge,2020,Chemical Oxygen Demand,53.92,B25
Demra Ghat,2020,Chemical Oxygen Demand,49.4,B25
Ghorashal F.F.,2020,Chemical Oxygen Demand,41,B25
Near ACI Factory,2020,Chemical Oxygen Demand,73.9,B25
Neaer Kanchpur Bridge,2020,Chemical Oxygen Demand,46,B25
Near Jaber & Jubair Fabrics Ltd. Tongi,2020,Chemical Oxygen Demand,84.08,B25
"Near Hossain Dyeing Ltd. Pagar, Tongi",2020,Chemical Oxygen Demand,99.75,B25
"Near Damra University College, Demra, Dhaka",2020,Chemical Oxygen Demand,69.75,B25
"Near Balu Bridge, 300 feet Road, Dhaka",2020,Chemical Oxygen Demand,70,B25
New Gabtoli Bridge,2020,Chemical Oxygen Demand,50.5,B25
Mirpur Diabary BIWTA Landing Station,2020,Chemical Oxygen Demand,53,B25
Ashulia BIWTA Landing Station,2020,Chemical Oxygen Demand,67.05,B25
Tongi Istima Mat,2020,Chemical Oxygen Demand,66,B25
"North Side of Tongi Bridge, Pagar",2020,Chemical Oxygen Demand,84.75,B25
Muktarpur Bridge,2020,Chemical Oxygen Demand,28.25,B25
CUFL Side Anowara,2020,Chemical Oxygen Demand,581,B25
"TSP Side, Patenga",2020,Chemical Oxygen Demand,450.17,B25
KAFCO side,2020,Chemical Oxygen Demand,164.5,B25
15 no Ghat,2020,Chemical Oxygen Demand,766.67,B25
Karnafully Mohona,2020,Chemical Oxygen Demand,653.67,B25
1km Straight from patenga sea beach,2020,Chemical Oxygen Demand,743.33,B25
Patenga charpara,2020,Chemical Oxygen Demand,491.67,B25
Mohona,2020,Chemical Oxygen Demand,54.83,B25
Madari Khal (middle point),2020,Chemical Oxygen Demand,43.17,B25
Boraikhali,2020,Chemical Oxygen Demand,88,B25
Madarikhal (Breeding Point),2020,Chemical Oxygen Demand,56,B25
Noya Khal (Outside),2020,Chemical Oxygen Demand,108,B25
Mendibag Point,2020,Chemical Oxygen Demand,10.45,B25
Kin Bridge Point,2020,Chemical Oxygen Demand,11.67,B25
Sheaik Ghat,2020,Chemical Oxygen Demand,11.73,B25
Chhatak,2020,Chemical Oxygen Demand,9.75,B25
Fenchuganj Point,2020,Chemical Oxygen Demand,10.57,B25
Mirpur Bridge,2021,Chemical Oxygen Demand,64.9,B25
Mohammadpur,2021,Chemical Oxygen Demand,43,B25
Bosila Bridge,2021,Chemical Oxygen Demand,56.9,B25
Hajaribag,2021,Chemical Oxygen Demand,57.3,B25
Satmosjid Road,2021,Chemical Oxygen Demand,57.4,B25
Chadnighat,2021,Chemical Oxygen Demand,58.9,B25
Sadarghat,2021,Chemical Oxygen Demand,63,B25
B.C.F.B,2021,Chemical Oxygen Demand,63.3,B25
Pagla,2021,Chemical Oxygen Demand,57.8,B25
Fatullah,2021,Chemical Oxygen Demand,50,B25
Port Road,2021,Chemical Oxygen Demand,58.57,B25
Majira Demra Ghat,2021,Chemical Oxygen Demand,41.44,B25
Murapara (Rupgonj),2021,Chemical Oxygen Demand,34.89,B25
Gorashal,2021,Chemical Oxygen Demand,29.33,B25
Trimohoni Bridge,2021,Chemical Oxygen Demand,93.44,B25
Jolshiri Abason,2021,Chemical Oxygen Demand,42.22,B25
Turag Bridge,2021,Chemical Oxygen Demand,63.67,B25
Ashulia,2021,Chemical Oxygen Demand,50.22,B25
Kaliakoir,2021,Chemical Oxygen Demand,38.11,B25
Vawal,2021,Chemical Oxygen Demand,61.78,B25
Nama Bazar,2021,Chemical Oxygen Demand,52.89,B25
Mukterpur,2021,Chemical Oxygen Demand,54.56,B25
Ruhitpur,2021,Chemical Oxygen Demand,34.86,B25
Hazratpur,2021,Chemical Oxygen Demand,38.29,B25
Alipur,2021,Chemical Oxygen Demand,44,B25
Sirajnagor,2021,Chemical Oxygen Demand,34,B25
Utorro Mitra,2021,Chemical Oxygen Demand,28.83,B25
Pathorghata,2021,Chemical Oxygen Demand,23.25,B25
CUFL,2021,Chemical Oxygen Demand,286.55,B25
TSP,2021,Chemical Oxygen Demand,308.82,B25
Shikalbaha,2021,Chemical Oxygen Demand,53.64,B25
Kalurghat Bridge,2021,Chemical Oxygen Demand,19.09,B25
Mariam Nagar,2021,Chemical Oxygen Demand,17.73,B25
Karnafully Paper,2021,Chemical Oxygen Demand,40.09,B25
Maduna Ghat,2021,Chemical Oxygen Demand,22.42,B25
Garduara Sluice gate,2021,Chemical Oxygen Demand,19.25,B25
Halda Bridge,2021,Chemical Oxygen Demand,17.83,B25
Mendibag Point,2021,Chemical Oxygen Demand,16.25,B25
Kin Bridge Point,2021,Chemical Oxygen Demand,12,B25
Sheaik Ghat,2021,Chemical Oxygen Demand,18.58,B25
Chhatak,2021,Chemical Oxygen Demand,18,B25
Fcnchuganj Bridge Point,2021,Chemical Oxygen Demand,18.25,B25
Mirpur Bridge,2022,Chemical Oxygen Demand,56,B25
Bosila Bridge,2022,Chemical Oxygen Demand,42.25,B25
Hajaribag,2022,Chemical Oxygen Demand,62.83,B25
Satmosjid Road,2022,Chemical Oxygen Demand,59.17,B25
Chadnighat,2022,Chemical Oxygen Demand,46.25,B25
Bangladesg China Friendship Bridge,2022,Chemical Oxygen Demand,44.75,B25
Fatullah,2022,Chemical Oxygen Demand,43.83,B25
Port Road,2022,Chemical Oxygen Demand,34.58,B25
Table Majhira Demra Ghat,2022,Chemical Oxygen Demand,44.42,B25
Murapara (Rupganj),2022,Chemical Oxygen Demand,34.83,B25
Gorashal Fertilizer,2022,Chemical Oxygen Demand,17.33,B25
Trimohoni Bridge,2022,Chemical Oxygen Demand,89.5,B25
Jolshiri Abason,2022,Chemical Oxygen Demand,63.42,B25
Turag Bridge,2022,Chemical Oxygen Demand,45.33,B25
Ashulia,2022,Chemical Oxygen Demand,45.33,B25
Kaliakoir,2022,Chemical Oxygen Demand,36.5,B25
Vawal,2022,Chemical Oxygen Demand,31,B25
Nama Bazar,2022,Chemical Oxygen Demand,35.08,B25
Mukterpur,2022,Chemical Oxygen Demand,22.58,B25
Pathorghata,2022,Chemical Oxygen Demand,29.89,B25
Ruhitpur,2022,Chemical Oxygen Demand,28,B25
Hazratpur,2022,Chemical Oxygen Demand,31.13,B25
Utorro Mitra,2022,Chemical Oxygen Demand,20.22,B25
Meghna Ghat,2022,Chemical Oxygen Demand,17.71,B25
Bisnondi,2022,Chemical Oxygen Demand,22.29,B25
Norsingdi Launch Terminal,2022,Chemical Oxygen Demand,21.14,B25
Anondo Bazar,2022,Chemical Oxygen Demand,24.43,B25
Bhairob Bazar,2022,Chemical Oxygen Demand,21.29,B25
CUFL,2022,Chemical Oxygen Demand,53.25,B25
TSP,2022,Chemical Oxygen Demand,44.25,B25
Shikalbaha,2022,Chemical Oxygen Demand,13.18,B25
Kalurghat Bridge,2022,Chemical Oxygen Demand,11.42,B25
Mariam Nagar,2022,Chemical Oxygen Demand,11.09,B25
Karnaphuli Paper,2022,Chemical Oxygen Demand,12.18,B25
Maduna Ghat,2022,Chemical Oxygen Demand,12.99,B25
Garduara Sluice Gate,2022,Chemical Oxygen Demand,12.1,B25
Halda Bridge,2022,Chemical Oxygen Demand,12.15,B25
Launch Ghat (S),2022,Chemical Oxygen Demand,9.5,B25
Launch Ghat (M),2022,Chemical Oxygen Demand,-44,B25
